Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
“Crowdsourcing” as a tool for e-participation: two experiences regarding CO2 emissions at municipal level,Electronic Commerce Research,,15,3,10.1007/s10660-015-9183-6,Sonia RoyoAna Yetano,2015,http://link.springer.com/article/10.1007/s10660-015-9183-6,Article
"CARS 2015—Computer Assisted Radiology and Surgery Proceedings of the 29th International Congress and Exhibition Barcelona, Spain, June 24–27, 2015",International Journal of Computer Assisted Radiology and Surgery,,10,1,10.1007/s11548-015-1213-2,,2015,http://link.springer.com/article/10.1007/s11548-015-1213-2,Article
Crisis Crowdsourcing Framework: Designing Strategic Configurations of Crowdsourcing for the Emergency Management Domain,Computer Supported Cooperative Work (CSCW),,23,4 - 6,10.1007/s10606-014-9204-3,Sophia B. Liu,2014,http://link.springer.com/article/10.1007/s10606-014-9204-3,Article
WebMapMedia: a map-based Web application for facilitating participation in spatial planning,Multimedia Systems,,16,1,10.1007/s00530-009-0175-z,Johanna Nuojua,2010,http://link.springer.com/article/10.1007/s00530-009-0175-z,Article
Evaluation on crowdsourcing research: Current status and future direction,Information Systems Frontiers,,16,3,10.1007/s10796-012-9350-4,Yuxiang ZhaoQinghua Zhu,2014,http://link.springer.com/article/10.1007/s10796-012-9350-4,Article
Journalists as Crowdsourcerers: Responding to Crisis by Reporting with a Crowd,Computer Supported Cooperative Work (CSCW),,23,4 - 6,10.1007/s10606-014-9208-z,Dharma DaileyKate Starbird,2014,http://link.springer.com/article/10.1007/s10606-014-9208-z,Article
Crowdsourcing and the crisis-affected community,Information Retrieval,,16,2,10.1007/s10791-012-9203-2,Robert Munro,2013,http://link.springer.com/article/10.1007/s10791-012-9203-2,Article
ICT Services for open and citizen science,World Wide Web,,18,4,10.1007/s11280-014-0303-3,Mikołaj Morzy,2015,http://link.springer.com/article/10.1007/s11280-014-0303-3,Article
Reviving community networks: hyperlocality and suprathresholding in Web 2.0 designs,Personal and Ubiquitous Computing,,19,2,10.1007/s00779-014-0831-y,John M. CarrollBlaine HoffmanKyungsik HanMary Beth Rosson,2015,http://link.springer.com/article/10.1007/s00779-014-0831-y,Article
"Political participation via social media: a case study of deliberative quality in the public online budgeting process of Frankfurt/Main, Germany 2013",Universal Access in the Information Society,,14,4,10.1007/s10209-014-0353-4,Alice Katharina PieperMichael Pieper,2015,http://link.springer.com/article/10.1007/s10209-014-0353-4,Article
"Open Data, Crowdsourcing and Game Mechanics. A case study on civic participation in the digital age",Computer Supported Cooperative Work (CSCW),,,,10.1007/s10606-016-9250-0,Reinhard A. HandlerRaul Ferrer Conill,2016,http://link.springer.com/article/10.1007/s10606-016-9250-0,Article
