"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2479751","Cynthia R. Farina and Mary J. Newhart and Josiah  Heidt and Jackeline  Solivan","","","","Balancing Inclusion and Enlightened Understanding in Designing Online Civic Participation Systems: Experiences from Regulation Room","180--189","","10","deliberative democracy, e-participation, e-rulemaking, open government, participation design, regulation room, rulemaking","10.1145/2479724.2479751","","","","","","","2013","","Proceedings of the 14th Annual International Conference on Digital Government Research","dg.o '13","","978-1-4503-2057-3","Quebec, Canada","ACM","New York, NY, USA"
"article","1559958","Jeffrey  Heer","","","","Voyagers and Voyeurs: Supporting Social Data Analysis","971--972","","2","collaboration, data management, social computing, social data analysis, visualization","10.1145/1559845.1559958","","","","","","","2009","","Proceedings of the 2009 ACM SIGMOD International Conference on Management of Data","SIGMOD '09","","978-1-60558-551-2","Providence, Rhode Island, USA","ACM","New York, NY, USA"
"article","2678267","Jidraph  Njuguna and Darshan  Santani and Tierra  Bills and Aisha W. Bryant and Reginald  Bryant","","","","Citizen Engagement and Awareness of the Road Surface Conditions in Nairobi, Kenya","115--116","","2","citizen engagement, developing cities, mobile crowdsourcing applications, nairobi road conditions, social media and governance, twitter hastags","10.1145/2674377.2678267","","","","","","","2014","","Proceedings of the Fifth ACM Symposium on Computing for Development","ACM DEV-5 '14","","978-1-4503-2936-1","San Jose, California, USA","ACM","New York, NY, USA"
"proceeding","2591888","","Tomasz  JANOWSKI and Jeanne  HOLM and Elsa  ESTEVEZ","","","","","","","","","","","","","","","2013","","Proceedings of the 7th International Conference on Theory and Practice of Electronic Governance","","","978-1-4503-2456-4","Seoul, Republic of Korea","ACM","New York, NY, USA"
"article","2495993","Simo  Hosio and Jorge  Goncalves and Vassilis  Kostakos and Keith  Cheverst and Yvonne  Rogers","","","","Human Interfaces for Civic and Urban Engagement: HiCUE '13","713--720","","8","citizen participation, civic engagement, urban computing, user interfaces","10.1145/2494091.2495993","","","","","","","2013","","Proceedings of the 2013 ACM Conference on Pervasive and Ubiquitous Computing Adjunct Publication","UbiComp '13 Adjunct","","978-1-4503-2215-7","Zurich, Switzerland","ACM","New York, NY, USA"
"article","2855516","Andy  Pilny and Brian  Keegan and Brooke  Wells and Chris  Riedl and David  Lazer and Jason  Radford and Katya  Ognyanova and Leslie  DeChurch and Michael  Macy and Noshir  Contractor and Waleed  Meleis","","","","Designing Online Experiments: Citizen Science Approaches to Research","498--502","","5","Citizen Science, Computer Science, Online Experimentation, Social Science","10.1145/2818052.2855516","","","","","","","2016","","Proceedings of the 19th ACM Conference on Computer Supported Cooperative Work and Social Computing Companion","CSCW '16 Companion","","978-1-4503-3950-6","San Francisco, California, USA","ACM","New York, NY, USA"
"article","2846035","Alexander  Sokolov and Anton  Verevkin","","","","Web Application for Civil Action: How It Works in Modern Russia","258--264","","7","Crowdsourcing, civic activism, civic engagement, civil action, social activism, web applications","10.1145/2846012.2846035","","","","","","","2015","","Proceedings of the 2015 2Nd International Conference on Electronic Governance and Open Society: Challenges in Eurasia","EGOSE '15","","978-1-4503-4070-0","St. Petersburg, Russian Federation","ACM","New York, NY, USA"
"article","2768562","Douglas  Schuler and Fiorella  De Cindio and Anna  De Liddo","","","","Encouraging Collective Intelligence for the Common Good: How Do We Integrate the Disparate Pieces?","157--159","","3","argumentation and sensemaking, civic intelligence, collective intelligence, common good, e-democracy, e-participation, online communities, online deliberation, open data, open source software","10.1145/2768545.2768562","","","","","","","2015","","Proceedings of the 7th International Conference on Communities and Technologies","C&#38;T '15","","978-1-4503-3460-0","Limerick, Ireland","ACM","New York, NY, USA"
"article","2464523","Souneil  Park and Minsam  Ko and Jaeung  Lee and Aram  Choi and Junehwa  Song","","","","Challenges and Opportunities of Local Journalism: A Case Study of the 2012 Korean General Election","286--295","","10","local journalism, social media, web-based interactive systems","10.1145/2464464.2464523","","","","","","","2013","","Proceedings of the 5th Annual ACM Web Science Conference","WebSci '13","","978-1-4503-1889-1","Paris, France","ACM","New York, NY, USA"
"article","2768560","Luigina  Ciolfi and Areti  Damala and Eva  Hornecker and Monika  Lechner and Laura  Maye and Daniela  Petrelli","","","","Cultural Heritage Communities: Technologies and Challenges","149--152","","4","cultural heritage","10.1145/2768545.2768560","","","","","","","2015","","Proceedings of the 7th International Conference on Communities and Technologies","C&#38;T '15","","978-1-4503-3460-0","Limerick, Ireland","ACM","New York, NY, USA"
"article","2483005","Gianluca  Schiavo and Marco  Milano and Jorge  Saldivar and Tooba  Nasir and Massimo  Zancanaro and Gregorio  Convertino","","","","Agora2.0: Enhancing Civic Participation Through a Public Display","46--54","","9","community computing, deliberation, e-government, public displays, situated displays, social informatics, urban informatics","10.1145/2482991.2483005","","","","","","","2013","","Proceedings of the 6th International Conference on Communities and Technologies","C&#38;T '13","","978-1-4503-2104-4","Munich, Germany","ACM","New York, NY, USA"
"article","2838759","Joel  Fredericks and Martin  Tomitsch and Luke  Hespanhol and Ian  McArthur","","","","Digital Pop-Up: Investigating Bespoke Community Engagement in Public Spaces","634--642","","9","Urban HCI, community engagement, digital placemaking, pervasive displays","10.1145/2838739.2838759","","","","","","","2015","","Proceedings of the Annual Meeting of the Australian Special Interest Group for Computer Human Interaction","OzCHI '15","","978-1-4503-3673-4","Parkville, VIC, Australia","ACM","New York, NY, USA"
"article","2145239","Ronald  Schroeter","","","","Engaging New Digital Locals with Interactive Urban Screens to Collaboratively Improve the City","227--236","","10","locative media, mobile interaction, mobile media, place-based community engagement, public screens, urban informatics","10.1145/2145204.2145239","","","","","","","2012","","Proceedings of the ACM 2012 Conference on Computer Supported Cooperative Work","CSCW '12","","978-1-4503-1086-4","Seattle, Washington, USA","ACM","New York, NY, USA"
"article","2145251","Shelly  Farnham and David  Keyes and Vicky  Yuki and Chris  Tugwell","","","","Puget Sound off: Fostering Youth Civic Engagement Through Citizen Journalism","285--294","","10","blogging, blogs, citizen journalism, civic efficacy, civic engagement, community action, internet, pso, puget sound off, social participation, youth","10.1145/2145204.2145251","","","","","","","2012","","Proceedings of the ACM 2012 Conference on Computer Supported Cooperative Work","CSCW '12","","978-1-4503-1086-4","Seattle, Washington, USA","ACM","New York, NY, USA"
"article","1812586","Annie  Bertrand","","","","Global Youth Connectivity (GYC) - Using ICT for Peaceful Recovery and Long-term Change","485--485","","1","civic engagement, global citizenship, global youth connectivity","","","","","","","","2009","","Proceedings of the 3rd International Conference on Information and Communication Technologies and Development","ICTD'09","","978-1-4244-4662-9","Doha, Qatar","IEEE Press","Piscataway, NJ, USA"
"article","2072073","Meelis  Kitsing","","","","Online Participation in Estonia: Active Voting, Low Engagement","20--26","","7","Central and Eastern Europe, Estonia, elections, electronic government, electronic voting, internet voting, online participation, rationality of voting, remote electronic voting","10.1145/2072069.2072073","","","","","","","2011","","Proceedings of the 5th International Conference on Theory and Practice of Electronic Governance","ICEGOV '11","","978-1-4503-0746-8","Tallinn, Estonia","ACM","New York, NY, USA"
"article","1814435","Deborah L. Estrin","","","","Participatory Sensing: Applications and Architecture","3--4","","2","mobile applications, mobile systems, participatory sensing, privacy","10.1145/1814433.1814435","","","","","","","2010","","Proceedings of the 8th International Conference on Mobile Systems, Applications, and Services","MobiSys '10","","978-1-60558-985-5","San Francisco, California, USA","ACM","New York, NY, USA"
"article","2702255","Mike  Harding and Bran  Knowles and Nigel  Davies and Mark  Rouncefield","","","","HCI, Civic Engagement &#38; Trust","2833--2842","","10","citizen participation, civic engagement, crowdsourcing, trust","10.1145/2702123.2702255","","","","","","","2015","","Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems","CHI '15","","978-1-4503-3145-6","Seoul, Republic of Korea","ACM","New York, NY, USA"
"proceeding","2072069","","Elsa  Estevez and Marijn  Janssen","","General Chair-Jim  Davies and General Chair-Theresa  Pardo and General Chair-Ivar  Tallo and Program Chair-Nele  Leosk","","","","","","","","","","","","","2011","","Proceedings of the 5th International Conference on Theory and Practice of Electronic Governance","","","978-1-4503-0746-8","Tallinn, Estonia","ACM","New York, NY, USA"
"article","2804401","Callum  Parker and Martin  Tomitsch and Judy  Kay and Matthias  Baldauf","","","","Keeping It Private: An Augmented Reality Approach to Citizen Participation with Public Displays","807--812","","6","civic computing, community engagement, mobile augmented reality, pervasive displays, pervasive participation","10.1145/2800835.2804401","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","2783585","Alexandra  Stiver and Leonor  Barroca and Marian  Petre and Mike  Richards and Dave  Roberts","","","","Civic Crowdfunding: How Do Offline Communities Engage Online?","37--45","","9","civic crowdfunding, empirical studies, online community, social media","10.1145/2783446.2783585","","","","","","","2015","","Proceedings of the 2015 British HCI Conference","British HCI '15","","978-1-4503-3643-7","Lincoln, Lincolnshire, United Kingdom","ACM","New York, NY, USA"
"article","2675187","Bryan  Semaan and Heather  Faucett and Scott  Robertson and Misa  Maruyama and Sara  Douglas","","","","Navigating Imagined Audiences: Motivations for Participating in the Online Public Sphere","1158--1169","","12","audience, context, motivations, public sphere, social media","10.1145/2675133.2675187","","","","","","","2015","","Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work &#38; Social Computing","CSCW '15","","978-1-4503-2922-4","Vancouver, BC, Canada","ACM","New York, NY, USA"
"article","2337407","Phil  Greenwood and Awais  Rashid and James  Walkerdine","","","","UDesignIt: Towards Social Media for Community-driven Design","1321--1324","","4","","","","","","","","","2012","","Proceedings of the 34th International Conference on Software Engineering","ICSE '12","","978-1-4673-1067-3","Zurich, Switzerland","IEEE Press","Piscataway, NJ, USA"
"article","2037628","Theresa  Pardo and Meghan  Cook and Jana  Hrdinov&#225;","","","","Investing in Open Government: Applying Lessons from Research and Practice","367--368","","2","collaboration, open government, participation, public value, technology innovation, transparency, web 2.0","10.1145/2037556.2037628","","","","","","","2011","","Proceedings of the 12th Annual International Digital Government Research Conference: Digital Government Innovation in Challenging Times","dg.o '11","","978-1-4503-0762-8","College Park, Maryland, USA","ACM","New York, NY, USA"
"article","2463750","Natalie Greene Taylor and Paul T. Jaeger and Ursula  Gorham and John Carlo Bertot and Ruth  Lincoln and Elizabeth  Larson","","","","The Circular Continuum of Agencies, Libraries, and Users: A Model of e-Government in Practice","87--94","","8","digital government, electronic government, models","10.1145/2463728.2463750","","","","","","","2012","","Proceedings of the 6th International Conference on Theory and Practice of Electronic Governance","ICEGOV '12","","978-1-4503-1200-4","Albany, New York, USA","ACM","New York, NY, USA"
"article","2465614","Shahzore  Qureshi and Francisco  Estevez and Sarah Monisha Pulimood","","","","Students Organizing Against Pollution: Computational Thinking Across Boundaries","356--356","","1","civic engagement, collaborative learning, information access, user-generated content moderation, web-based database system","10.1145/2462476.2465614","","","","","","","2013","","Proceedings of the 18th ACM Conference on Innovation and Technology in Computer Science Education","ITiCSE '13","","978-1-4503-2078-8","Canterbury, England, UK","ACM","New York, NY, USA"
"article","2556481","Jerry Alan Fails and Katherine G. Herbert and Emily  Hill and Christopher  Loeschorn and Spencer  Kordecki and David  Dymko and Andrew  DeStefano and Zill  Christian","","","","GeoTagger: A Collaborative and Participatory Environmental Inquiry System","157--160","","4","adventures, children, citizen science, collaboration, social","10.1145/2556420.2556481","","","","","","","2014","","Proceedings of the Companion Publication of the 17th ACM Conference on Computer Supported Cooperative Work &#38; Social Computing","CSCW Companion '14","","978-1-4503-2541-7","Baltimore, Maryland, USA","ACM","New York, NY, USA"
"article","2496004","Minna  Pakanen and Anna Maria Polli and Stella  Lee and Joseph  Lindley and Jorge  Goncalves","","","","Tending a Virtual Garden: Exploring Connectivity Between Cities","761--764","","4","civic engagement, collaboration, experience-driven design, public displays, ubiquitous computing, urban space","10.1145/2494091.2496004","","","","","","","2013","","Proceedings of the 2013 ACM Conference on Pervasive and Ubiquitous Computing Adjunct Publication","UbiComp '13 Adjunct","","978-1-4503-2215-7","Zurich, Switzerland","ACM","New York, NY, USA"
"article","2531605","Bryan C. Semaan and Scott P. Robertson and Sara  Douglas and Misa  Maruyama","","","","Social Media Supporting Political Deliberation Across Multiple Public Spheres: Towards Depolarization","1409--1421","","13","depolarization, multi-mediation, public sphere, social media","10.1145/2531602.2531605","","","","","","","2014","","Proceedings of the 17th ACM Conference on Computer Supported Cooperative Work &#38; Social Computing","CSCW '14","","978-1-4503-2540-0","Baltimore, Maryland, USA","ACM","New York, NY, USA"
"article","2641581","Stef  van Grieken","","","","Let's Build the Road Network of Civic Tech","41:1--41:1","41","1","","10.1145/2641580.2641581","","","","","","","2014","","Proceedings of The International Symposium on Open Collaboration","OpenSym '14","","978-1-4503-3016-9","Berlin, Germany","ACM","New York, NY, USA"
"article","2461153","Kelly  Shigeno and Sergio  Borger and Diego  Gallo and Ricardo  Herrmann and Mateus  Molinaro and Carlos  Cardonha and Fernando  Koch and Priscilla  Avegliano","","","","Citizen Sensing for Collaborative Construction of Accessibility Maps","24:1--24:2","24","2","","10.1145/2461121.2461153","","","","","","","2013","","Proceedings of the 10th International Cross-Disciplinary Conference on Web Accessibility","W4A '13","","978-1-4503-1844-0","Rio de Janeiro, Brazil","ACM","New York, NY, USA"
"article","1518741","Kurt  Luther and Scott  Counts and Kristin B. Stecher and Aaron  Hoff and Paul  Johns","","","","Pathfinder: An Online Collaboration Environment for Citizen Scientists","239--248","","10","citizen science, online collaboration, online communities, social computing, social data analysis, sustainability, wiki","10.1145/1518701.1518741","","","","","","","2009","","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","CHI '09","","978-1-60558-246-7","Boston, MA, USA","ACM","New York, NY, USA"
"article","1556473","Marco A. Figueiredo and Paola  Prado and Mauro A. C&#226;mara and Ana M. Albuquerque","","","","Empowering Rural Citizen Journalism via Web 2.0 Technologies","77--84","","8","analysis of collective practices, applications for underserved users, community informatics, digital divide, digital inclusion, ict4d, rural telecenters, video blog, web 2.0","10.1145/1556460.1556473","","","","","","","2009","","Proceedings of the Fourth International Conference on Communities and Technologies","C&#38;T '09","","978-1-60558-713-4","University Park, PA, USA","ACM","New York, NY, USA"
"article","2783625","Duncan  Rowland and Abigail  Durrant and Rachel  Clarke","","","","Interactions Gallery","309--309","","1","creative practice, interactions gallery, interactive media arts","10.1145/2783446.2783625","","","","","","","2015","","Proceedings of the 2015 British HCI Conference","British HCI '15","","978-1-4503-3643-7","Lincoln, Lincolnshire, United Kingdom","ACM","New York, NY, USA"
"article","2063235","Bryan  Semaan and Gloria  Mark","","","","Technology-mediated Social Arrangements to Resolve Breakdowns in Infrastructure During Ongoing Disruption","21:1--21:21","21","21","Infrastructure, collaboration, crisis informatics, disrupted environments, empirical study, human infrastructure, ontological security, recovery, routines, trust","10.1145/2063231.2063235","ACM Trans. Comput.-Hum. Interact.","December 2011","18","4","","December","2011","1073-0516","","","","","","ACM","New York, NY, USA"
"article","2691233","Dragana  Majstorovic and Maria A. Wimmer","","","","Future Scenarios of ICT Solutions for Governance and Policy Modelling","124--133","","10","innovative ICT solutions for policy modelling, open governance, policy making, scenario building","10.1145/2691195.2691233","","","","","","","2014","","Proceedings of the 8th International Conference on Theory and Practice of Electronic Governance","ICEGOV '14","","978-1-60558-611-3","Guimaraes, Portugal","ACM","New York, NY, USA"
"proceeding","2463728","","J. Ramon Gil-Garcia and Natalie  Helbig and Adegboyega  Ojo","","Conference Chair-David  Ferriero and Conference Chair-Theresa  Pardo and Conference Chair-Haiyan  Qian","","","","","","","","","","","","","2012","","Proceedings of the 6th International Conference on Theory and Practice of Electronic Governance","","","978-1-4503-1200-4","Albany, New York, USA","ACM","New York, NY, USA"
"article","2317980","Ronald  Schroeter and Marcus  Foth and Christine  Satchell","","","","People, Content, Location: Sweet Spotting Urban Screens for Situated Engagement","146--155","","10","civic deliberation, community engagement, locative media, mobile interaction, mobile media, public screens, urban informatics","10.1145/2317956.2317980","","","","","","","2012","","Proceedings of the Designing Interactive Systems Conference","DIS '12","","978-1-4503-1210-3","Newcastle Upon Tyne, United Kingdom","ACM","New York, NY, USA"
"article","2783590","Mara  Balestrini and Yvonne  Rogers and Paul  Marshall","","","","Civically Engaged HCI: Tensions Between Novelty and Social Impact","35--36","","2","activism, civically engaged research, grassroots, technologies for social action","10.1145/2783446.2783590","","","","","","","2015","","Proceedings of the 2015 British HCI Conference","British HCI '15","","978-1-4503-3643-7","Lincoln, Lincolnshire, United Kingdom","ACM","New York, NY, USA"
"article","2729118","Aleksandr  Sherstobitov","","","","The Potential of Social Media in Russia: From Political Mobilization to Civic Engagement","162--166","","5","Social media, network analysis, political mobilization, political participation","10.1145/2729104.2729118","","","","","","","2014","","Proceedings of the 2014 Conference on Electronic Governance and Open Society: Challenges in Eurasia","EGOSE '14","","978-1-4503-3401-3","St. Petersburg, Russian Federation","ACM","New York, NY, USA"
"article","1753898","Travis  Kriplean","","","","Building Interpretable Discussions: For Effective Public Engagement","2971--2974","","4","advocacy, collaboration, deliberation, labor, political communication, sensemaking, translucence","10.1145/1753846.1753898","","","","","","","2010","","CHI '10 Extended Abstracts on Human Factors in Computing Systems","CHI EA '10","","978-1-60558-930-5","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","1754016","Solomon  Bisker and Mark  Gross and Donald  Carter and Eric  Paulos and Stacey  Kuznetsov","","","","Personal, Public: Using DIY to Explore Citizen-led Efforts in Urban Computing","3547--3552","","6","cameras, community, diy, government, photography, public performance, story telling, throwies, ubiquitous computing, urban computing, urban planning","10.1145/1753846.1754016","","","","","","","2010","","CHI '10 Extended Abstracts on Human Factors in Computing Systems","CHI EA '10","","978-1-60558-930-5","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","2732515","Paul  Dunphy and Johannes  Sch&#246;ning and James  Nicholson and Patrick  Olivier","","","","Captchat: A Messaging Tool to Frustrate Ubiquitous Surveillance","639--646","","8","captchat, mobile messaging, privacy, ubiquitous surveillance","10.1145/2702613.2732515","","","","","","","2015","","Proceedings of the 33rd Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '15","","978-1-4503-3146-3","Seoul, Republic of Korea","ACM","New York, NY, USA"
"article","2479528","Caroline  Hummels and Ambra  Trotto","","","","Hephaestus and the Senses","2819--2820","","2","creative tools, design, engagement, probes, skilful coping, skills, social innovation, transformative collaboration","10.1145/2468356.2479528","","","","","","","2013","","CHI '13 Extended Abstracts on Human Factors in Computing Systems","CHI EA '13","","978-1-4503-1952-2","Paris, France","ACM","New York, NY, USA"
"article","2685556","Elizabeth  Daly and Sheena  Erete and Rosta  Farzan and Gary  Hsieh and Cliff  Lampe and Claudia  Lopez and Andres  Monroy-Hernandez and Daniele  Quercia and Raz  Schwartz and Amy  Voida","","","","Supporting Cities, Neighborhoods, and Local Communities with Information and Communication Technologies","277--281","","5","activism, city, civic engagement, community, neighborhoods","10.1145/2685553.2685556","","","","","","","2015","","Proceedings of the 18th ACM Conference Companion on Computer Supported Cooperative Work &#38; Social Computing","CSCW'15 Companion","","978-1-4503-2946-0","Vancouver, BC, Canada","ACM","New York, NY, USA"
