type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,abstract
article,2479751,Cynthia R. Farina and Mary J. Newhart and Josiah  Heidt and Jackeline  Solivan,,,,Balancing Inclusion and Enlightened Understanding in Designing Online Civic Participation Systems: Experiences from Regulation Room,180--189,,10,"deliberative democracy, e-participation, e-rulemaking, open government, participation design, regulation room, rulemaking",10.1145/2479724.2479751,,,,,,,2013,,Proceedings of the 14th Annual International Conference on Digital Government Research,dg.o '13,,978-1-4503-2057-3,"Quebec, Canada",ACM,"New York, NY, USA","New forms of online citizen participation in government decision making have been fostered in the United States (U.S.) under the Obama Administration. Use of Web information technologies have been encouraged in an effort to create more back-and-forth communication between citizens and their government. These ""Civic Participation 2.0"" attempts to open the government up to broader public participation are based on three pillars of open government---transparency, participation, and collaboration. Thus far, the Administration has modeled Civic Participation 2.0 almost exclusively on the Web 2.0 ethos, in which users are enabled to shape the discussion and encouraged to assess the value of its content. We argue that strict adherence to the Web 2.0 model for citizen participation in public policymaking can produce ""participation"" that is unsatisfactory to both government decisionmakers and public participants. We believe that successful online civic participation design must balance inclusion and ""enlightened understanding,"" one of the core conditions for democratic deliberation. Based on our experience with Regulation Room, an experimental online participation platform trying to broaden meaningful public engagement in the process federal agencies use to make new regulations, we offer specific suggestions on how participation designers can strike the balance between ease of engagement and quality of engagement---and so bring new voices into the policymaking process through participating that counts."
article,1559958,Jeffrey  Heer,,,,Voyagers and Voyeurs: Supporting Social Data Analysis,971--972,,2,"collaboration, data management, social computing, social data analysis, visualization",10.1145/1559845.1559958,,,,,,,2009,,Proceedings of the 2009 ACM SIGMOD International Conference on Management of Data,SIGMOD '09,,978-1-60558-551-2,"Providence, Rhode Island, USA",ACM,"New York, NY, USA","In recent years, researchers and entrepreneurs have introduced new online services for data collection and analysis, often relying on interactive visualizations to enable mass interaction with data. These sites represent the first step in what looks to be a growing online phenomenon: social data analysis, that is, collective analysis of data supported by social interaction. Engaging crowds of both experts and non-experts in the process of data exploration has applications ranging from political transparency to business intelligence to citizen science. Achieving this vision, however, will require further innovation in the design of systems for collaborative data management.In this talk, I will highlight recent efforts to use the web as a platform for collectively creating, managing, and analyzing data. I will share how web citizens are collaborating with data, and discuss how we might design systems to catalyze social forms of data management and exploration."
article,2678267,Jidraph  Njuguna and Darshan  Santani and Tierra  Bills and Aisha W. Bryant and Reginald  Bryant,,,,"Citizen Engagement and Awareness of the Road Surface Conditions in Nairobi, Kenya",115--116,,2,"citizen engagement, developing cities, mobile crowdsourcing applications, nairobi road conditions, social media and governance, twitter hastags",10.1145/2674377.2678267,,,,,,,2014,,Proceedings of the Fifth ACM Symposium on Computing for Development,ACM DEV-5 '14,,978-1-4503-2936-1,"San Jose, California, USA",ACM,"New York, NY, USA","In this poster, we present a mobile crowdsourcing application, called Afya Ya Barabara (AYB) (which means road health in Kiswahili). The application serves 2 major roles: First is to collect and visualize data on road surface conditions in Nairobi. Second role is as a citizen engagement platform to raise awareness on the state of road conditions in Nairobi using Twitter hashtags. The focus of this work is to discuss how AYB is employed to promote citizen engagement. Nairobi is one of the most active cities in East Africa in terms of Twitter usage. This guided our decision to employ Twitter as a social engagement tool. The demand for more systematic citizen engagement and public participation in the governance of developing cities is growing. As government budgets are becoming increasingly tight, new ways of addressing road maintenance problems are required. Public governance in developing countries faces accountability issues that allow corruption and poor service delivery to seethe. Lack of information and citizen engagement perpetuates such tendencies. We propose Afya Ya Barabara as an engagement platform that will expand the capacity of municipalities and its citizens to better monitor road conditions using mobile technology."
proceeding,2591888,,Tomasz  JANOWSKI and Jeanne  HOLM and Elsa  ESTEVEZ,,,,,,,,,,,,,,,2013,,Proceedings of the 7th International Conference on Theory and Practice of Electronic Governance,,,978-1-4503-2456-4,"Seoul, Republic of Korea",ACM,"New York, NY, USA","The 7th International Conference on Theory and Practice of Electronic Governance, ICEGOV2013, took place in Seoul, Republic of Korea from 22 to 25 October 2013. The conference was organized under the patronage of the Ministry of Security and Public Administration of the Republic of Korea (MOSPA) by the National Information Society Agency and by Macao-based Center for Electronic Governance at United Nations University International Institute for Software Technology (UNU-IIST) as the founder and organizer of the ICEGOV series. The conference took place under the theme ""Beyond 2015  Smart Governance, Smart Development"". It was co-located with the Global e-Government Forum, organized by MOSPA in collaboration with United Nations Department of Economic and Social Affairs (UNDESA).The ICEGOV series focuses on the use of technology to transform relationships between government and citizens, businesses, civil society and other arms of government (Electronic Governance). Established in 2007, the series looks beyond the traditional focus on technology-enabled transformation in government (Electronic Government) towards new forms, new paradigms, and new foundations for technology-enabled governance, collaboration and sustainable development. ICEGOV is a platform where researchers, policy-makers and practitioners meet; a platform where theories are tested, insights are shared and experiences are reported; a platform for network- and capacity-building where keynote lectures and paper sessions are complemented by plenary discussions, town hall debates and poster exhibitions; a platform for international dialogue attended by participants from developing, developed and transition countries, from the United Nations system, and from many academic, governmental, non-governmental and private sector organizations. Since its establishment, the series has traveled globally from Macao (ICEGOV2007), through Cairo (ICEGOV2008), Bogota (ICEGOV2009), Beijing (ICEGOV2010), Tallinn (ICEGOV2011) and Albany (ICEGOV2012), to Seoul (ICEGOV2013) all generating significant local interest and stakeholder engagement.The program of ICEGOV2013 was built upon contributions from researchers and practitioners from around the world. In response to the call for papers, the conference received 133 papers from 54 countries and economies. The papers were evaluated in five categories: 1) Completed Research Papers  providing the outcomes of complete research in one or more aspects of EGOV, with proven capability to advance the state of research in the field, limited to 10 pages; 2) Ongoing Research Papers  providing the outcomes of ongoing research in one or more aspects of EGOV, with potential capability to advance the state of research in the field, limited to 4 pages; 3) Completed Experience Papers  describing completed experience concerning EGOV policy or practice innovations, with proven capability to advance the state of practice in the field, including critical success factors and insights on the challenges encountered and how they were addressed, limited to 10 pages; 4) Ongoing Experience Papers  describing ongoing experience concerning EGOV policy and practice innovations, with potential capability to advance the state of practice in the field, including critical success factors and insights on the challenges encountered and how they are being addressed, limited to 4 pages; and 5) Poster Papers  presenting novel ideas and initiatives with potential to advance the state of research or state of practice in the field, limited to 2 pages. In total, 43 Completed Research Papers, 45 Ongoing Research Papers, 17 Completed Experience Papers, 21 Ongoing Experience Papers and 8 Posters were received. After anonymous peer-review process carried out by the members of the Program Committee at least three independent reviews were obtained for each submission as a basis for acceptance decisions: 13 submissions were accepted as Completed Research Papers, 8 as Completed Experience Papers, 29 as Ongoing Research Papers, 11 as Ongoing Experience Papers and 21 as Poster Papers. All accepted submissions, revised to address review comments, and presented at the conference within 6 paper tracks, 11 thematic sessions and one poster session, are included in this volume. Among them, like the last three ICEGOV conferences, the authors of selected papers were invited to submit extended versions of their papers for possible publication in the special issue of Government Information Quarterly, Elsevier.Based on the submitted and invited contributions and continuing the ICEGOV tradition, ICEGOV2013 featured a rich academic, capacity-building and network-building program comprising keynote lectures, plenary discussions, town hall debates, paper tracks, thematic sessions and the doctoral colloquium and poster exhibition. The program engaged individuals from over 60 countries and economies as authors, reviewers, committee members or resource persons. The details of the program are provided below.The conference included six keynote lectures on various aspects of Electronic Governance (EGOV), conducted by distinguished experts and practitioners in the area: 1) Park Chan Woo, Vice-Minister of Security and Public Administration of the Republic of Korea; 2) Alikhan Baimenov, Chairman of the Agency for Civil Service Affairs of the Republic of Kazakhstan; 3) Moon Suk Ahn, Chair Professor of e- Government, Korea University, Republic of Korea; 4) Mohammed Ali Al, Chief Executive Officer, e-Government Authority, Kingdom of Bahrain; 5) Henk G. Sol, Professor of Business and ICT and Founding Dean, University of Groningen, Netherlands; and 6) Edwin Lau, Head of Division, Reform of the Public Sector, Organization for Economic Co-operation and Development (OECD).Three plenary sessions followed the keynote lectures on the second, third and fourth day of the conference, focusing on specific questions of interest to the EGOV research and policy community:1. Are international EGOV rankings having a mobilizing or distracting influence on development? Chaired by Tomasz Janowski, Head of the Center for Electronic Governance at UNU-IIST and attended by: Vincenzo Aquaro, Chief of E-Government Branch, Division for Public Administration and Development Management, UNDESA; Bikesh Kurmangaliyeva, Deputy Chairwoman of the Board of ""Zerde"" National CT Holding, Kazakhstan; Mohammed Ali Al Qaed, CEO of eGovernment Authority, Kingdom of Bahrain; Mesfin Belachew Tefera, Technical Advisor to the Minister, Ethiopian Ministry of Communication and Information Technology; and Saleem Zoughbi, Former Regional ICT Advisor, UNESCWA and consultant for UNU-IIST.2. Who should drive smart conversations for sustainable development  experts, citizens or politicians? Chaired by Marijn Janssen, Professor of ICT and Governance at Technology, Policy and Management Faculty, Delft University of Technology, Netherlands and attended by: Sunil Choenni, Head, Department of Statistical Information Management and Policy Analysis, Research and Documentation Centre (WODC), Dutch Ministry of Security and Justice; Harekrishna Misra, Professor in IT and Systems at the Institute of Rural Management Anand (IRMA), India; Henk G.Sol, Professor of Business and ICT and Founding Dean, Faculty of Economics and Business, University of Groningen, Netherlands; and Evgeny Styrin, Senior Research Analyst and Associate Professor, National Research University Higher School of Economics, Russia.3. Is a common set of e-government principles, applicable to all countries and contexts, possible? Chaired by Samuel Chan, Member of Executive Committee, Macao Science and Technology Development Fund, Macao SAR Government and attended by: Wojciech Cellary, Head of the Department of Information Technology, Poznan University of Economics, Poland; Sharon Dawes, Senior Fellow, Center for Technology in Government, University at Albany, USA; Edwin Lau, Head of Division, Reform of the Public Sector, Public Governance and Territorial Development Directorate, Organization for Economic Co-operation and Development; and Jeremy Millard, Associate Research Fellow, Brunel University, UK.Three town hall debates took place in the afternoons of the first, second and third days of the conference. They focused on three salient questions for the EGOV research and policy community:1. Catalyzing Smart Transformation: What Makes Governments Smarter? Chaired by Samia Melhem, Lead Policy Specialist, Transform Practice, Chair, eDevelopment Community of Practice, Transport, Water and ICT, Sustainable Development Network, World Bank Group; and Oleg Petrov, Senior Program Officer, ICT, World Bank; and attended by: Jabiri Kuwe Bakari, CEO, e-Government Agency, Tanzania; Rajendra Kumar, Senior Officer, Indian Administrative Service and Joint Secretary (e-Governance), Department of Electronics and Information Technology, Government of India; Bikesh Kurmangaliyeva, Deputy Chairwoman of the Board of ""Zerde"" National CT Holding, Kazakhstan; Margareta Petrusevschi, Knowledge and Learning Coordinator, e-Government Centre, Government of the Republic of Moldova; James Saaka, Executive Director, National Information Technology Authority, Uganda; Mesfin Belachew Tefera, Technical Advisor to the Ethiopian Minister of Communication and Information Technology; and Jeongwon Yoon, Executive Director, National Information Society Agency, Korea. This town hall was organized by the World Bank.2. Is Good Governance a Pre-Condition or a Consequence of the Development of Knowledge Societies? Chaired by Andrea Cairola, Adviser for Communication and Information, UNESCO Office Beijing, Cluster Office to the Democratic Peoples Republic of Korea, Japan, Mongolia, Peoples Republic of China and Republic of Korea; and attended by: Johanna Ekua Awotwi, Director of Research and ICT Operations, Centre for e-Governance, Accra, Ghana; Antonio Cordella, Lecturer in Information Systems, London School of Economics and Political Sciences, UK; Marco Peres, Director, Observatory for Society, Technology and Government Information, University Externado of Colombia, Colombia; Margareta Petrusevschi, Knowledge and Learning Coordinator, e-Government Centre, Government of the Republic of Moldova, Moldova; and Jeongwon Yoon, Executive Director, National Information Society Agency, Republic of Korea. This town hall was organized by the UNESCO Information for All Programme.3. Striking the Balance of Security, Privacy and Openness: To Open or Not To Open? Chaired by Theresa Pardo, Director of the Center for Technology in Government, University at Albany, USA, and attended by: Sharon Dawes, Senior Fellow, Center for Technology in Government, University at Albany, USA; Ramon Gil-Garcia, Research Director, Center for Technology in Government, University at Albany, USA; Louise Thomasen, independent consultant and expert in EGOV and technology, Denmark; and Lei Zheng, Assistant Professor, Department of Public Administration, Fudan University, China.The program included six paper tracks, chaired by leading international experts in the corresponding areas, comprising presentations of three to six accepted papers: 1) Building Smart Government chaired by Theresa Pardo, Director of the Center for Technology in Government, University at Albany, USA and Gabriel Puron Cid, Professor at the Centre of Research and Teaching in Economic Sciences, Mexico; 2) Governing through Networks chaired by Sehl Mellouli, Associate Professor at Laval University, Canada and Adegboyega Ojo, Research Fellow and Leader of E-Government Group at INSIGHT, National University of Ireland, Ireland; 3) Policy and Governance Innovation chaired by Natalie Helbig, Senior Research Associate at the Center for Technology in Government, University at Albany, USA and Marijn Janssen, Professor in ICT and Governance at the Delft University of Technology, Netherlands; 4) Smart Governance for Smart Industries chaired by Wojciech Cellary, Professor and Head of the Department of Information Technology at the Poznan University of Economics, Poland and Antonio Cordella, Lecturer at the London School of Economics and Political Sciences, UK; 5) Smart Governance for Smart Societies chaired by Jeremy Millard, Associate Research Fellow at the Brunel University, UK; and 6) Ethics, Transparency and Accountability chaired by Jeanne Holm, Chief Knowledge Architect at the NASA Jet Propulsion Laboratory, USA. Each track took place across the whole duration of the conference, with tutorial introduction to the topic of the track organized on the first day, presentations of accepted papers on the second or third day, and workshop-style discussion on the last day.Complementing the paper tracks, 11 thematic sessions were organized and chaired by industrial, academic, government and international organizations active in the theme of the session, comprising presentations of up to four accepted papers: 1) EGOV for Development chaired by Nag Yeon Lee, ICT Consultant and Instructor for e-Government on behalf of the Asia Pacific Center on ICT for Development, United Nations Economic and Social Commission for Asia Pacific; 2) National Data Policies chaired by Zhanat Zhakhmetova, Head of the Office of State Informatization Policy, Department of State Information Technology Policy, on behalf of the Ministry of Transport and Communications, Republic of Kazakhstan; 3) Governing Ageing Society chaired by Toshio Obi, Professor, Institute of e-Government on behalf of Waseda University, Japan; 4) Governing Smart Cities chaired by Yoon Chang So, Smart Cities Country Leader, IBM Korea on behalf of IBM; 5) Open Government Data Impact chaired by Edwin Lau, Head of Division, Reform of the Public Sector, Public Governance and Territorial Development Directorate, on behalf of the Organization for Economic Co-operation and Development; 6) Interoperability Governance chaired by Jung Sik Hwang, Platform Strategy Lead at Microsoft Korea on behalf of Microsoft; 7) Government on Social Media chaired by Jeanne Holm, Evangelist, Data.Gov and Chief Knowledge Architect at the Jet Propulsion Laboratory, NASA on behalf of the World Wide Web Consortium; 8) Innovative EGOV Applications chaired by Oleg Petrov, Senior Program Officer, ICT, World Bank on behalf of the World Bank; 9) Participatory Government chaired by Bernd Friedrich, Head of the Information and Communications Technologies for Development Project at Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH, Germany on behalf of GTZ; 10) Mobile Governance chaired by Nestor Eduardo Fajardo Infante, Advisor for Research, Development and Innovation, Ministry of Information Technology and Communication, on behalf of the Government of Colombia; and 11) Open Data Ecosystem chaired by Jeanne Holm, Evangelist, Data.Gov and Chief Knowledge Architect, Jet Propulsion Laboratory, NASA on behalf of the U.S. Government and Data.Gov.The program also included poster exhibition, organized in the reception style to allow authors to present their ongoing work, receive feedback and engage in discussions and networking; and an interactive doctoral colloquium, jointly organized by the Center for Electronic Governance at UNU-IIST, Macao, University of Groningen, Netherlands and Chuo University, Japan. The colloquium provided doctoral students from different disciplines an opportunity to discuss a variety of EGOV topics and methods related to their research work, dissertations and career plans. The colloquium was co-chaired by Elsa Estevez, Academic Program Officer, United Nations University International Institute for Software Technology, Macao; Hiroko Kudo, Professor of Public Policy and Public Management, Faculty of Law, Chuo University, Japan; and Henk G. Sol, Professor of Business and ICT and Founding Dean, Faculty of Economics and Business, University of Groningen, Netherlands; and attended by Adegboyega Ojo, Research Fellow and Leader of E-Government Group at the INSIGHT Center for Data Analytics, National University of Ireland, Ireland as invited academic.The conference awarded best paper titles in Best Research Paper and Best Experience Paper categories. The selection was carried out jointly by Elsa Estevez as the ICEGOV2013 Awards Chair, and Tomasz Janowski and Jeanne Holm as the ICEGOV2013 Program Chairs. Three papers were nominated to the Best Experience Paper award: 1) A Reputation Based Electronic Government Procurement Model by Hichem Klabi, Sehl Mellouli and Monia Rekik; 2) Government 3.0 in Korea: Fad or Fashion? byTaewoo Nam; and 3) Secure ID Management for Social Security and Tax Number System by Hisao Sakazaki, Dan Yamamoto, Akihiro Sugimoto and Shinji Hirata. The winner in this category was ""A Reputation Based Electronic Government Procurement Model"" by Hichem Klabi, Sehl Mellouli and Monia Rekik. Three papers were also nominated to the Best Research Paper award: 1) Harnessing the Duality of e-Participation  Social Software Infrastructure Design by Lukasz Porwol, Adegboyega Ojo and John Breslin; 2) When Food Quality Control in China Meets Mobile and Wireless Technology: Interactions, Potentials and Pitfalls by Shuhua Liu; and 3) Cross-departmental Collaboration in Government One-Stop Center: Factors and Performance by Xinping Liu. The winner in this category was ""Harnessing the Duality of e-Participation  Social Software Infrastructure Design"" by Lukasz Porwol, Adegboyega Ojo and John Breslin.Many people and institutions contributed to the organization of ICEGOV2013. We wish to thank the official patron of ICEGOV2013, the Ministry of Security and Public Administration of the Republic of Korea for endorsing and supporting the conference. Our sincere thanks go to the National Information Society Agency, Republic of Korea (NIA) as the local organizer of the conference, particularly to Jeongwon Yoon for his vision and leadership, and to Dohyoon Kim and the whole team in NIA for their hard work and dedication to making the combined ICEGOV2013 and Global e-Government Forum event successful. We wish to express our most sincere thanks to the key sponsors  Macao SAR Government and Macao Foundation and the sponsor  Electronic Government of the Republic of Kazakhstan whose generous contributions allowed many academics and practitioners from developing countries to attend the conference. Special gratitude is due to Macao SAR Government, its Public Administration and Civil Service Bureau, and Macao Foundation for continuing support to the ICEGOV conference series and the origin of the series  e-Macao Program. We also wish to thank ICEGOV2013 partners for their presence, support and in-kind contributions: Brunel University, London, UK; Center for Technology in Government, University at Albany, USA; Data.Gov, U.S. Government; German Cooperation, Deutsche Zusammenarbeit and Deutsche Gesellschaft für Internationale Zusammenarbeit, Germany; IBM; Information and Communication Technologies, World Bank; Microsoft; Ministry of Information Technology and Communication, Colombia (MINTIC); Organization for Economic Co-operation and Development; Poznan University of Economics, Poland; The Insight Centre for Data Analytics, National University of Ireland, Ireland; The Science and Technology Development Fund, Government of Macao SAR, Macao; UNESCO Information for All Programme; United Nations Asian and Pacific Training Centre for Information and Communication Technology for Development; Vive Digital Programme, MINTIC, Colombia; Waseda University, Japan; and the World Wide Web Consortium. We also wish to express our thanks to ACM Press for publishing the ICEGOV2013 conference proceedings. We are most grateful to the whole Advisory Committee for supporting the conference and to all members of the Program Committee and additional reviewers for their efforts to carry out quality reviews and to help build a strong conference program. We thank keynote speakers; organizers, chairs and moderators of the plenary sessions, town hall debates, paper tracks, thematic sessions, the doctoral colloquium, and the poster session; and all panelists and speakers for their intellectual contributions. Last but not least, we are most thankful to all authors for their efforts in preparing, submitting and presenting papers at ICEGOV2013.We hope that ICEGOV2013 will further contribute to building, growing and connecting global EGOV research, policy and practice communities, able to cross not only national and regional but also institutional and thematic borders, and that the contacts, discussions and ideas initiated in Seoul in October 2013 will continue well after the conference and towards ICEGOV2014 in Guimaraes, Portugal."
article,2495993,Simo  Hosio and Jorge  Goncalves and Vassilis  Kostakos and Keith  Cheverst and Yvonne  Rogers,,,,Human Interfaces for Civic and Urban Engagement: HiCUE '13,713--720,,8,"citizen participation, civic engagement, urban computing, user interfaces",10.1145/2494091.2495993,,,,,,,2013,,Proceedings of the 2013 ACM Conference on Pervasive and Ubiquitous Computing Adjunct Publication,UbiComp '13 Adjunct,,978-1-4503-2215-7,"Zurich, Switzerland",ACM,"New York, NY, USA","How should citizens and communities interact with and in their city? Leveraging urban resources for civic purposes, such as citizen participation and community engagement, has been gaining interest in HCI. Essentially, citizens can be empowered to be heard and engage the city better through the use of modern technology. Examples of these technologies are mobile phones, public displays, sensor networks, digital art installations, or any other type of urban technology. This workshop seeks to investigate the progress in creating public human interfaces for interactive urban engagement. We wish to discuss issues such as citizen participation in public life and decision-making, informing citizens, and civic engagement in all its various forms."
article,2855516,Andy  Pilny and Brian  Keegan and Brooke  Wells and Chris  Riedl and David  Lazer and Jason  Radford and Katya  Ognyanova and Leslie  DeChurch and Michael  Macy and Noshir  Contractor and Waleed  Meleis,,,,Designing Online Experiments: Citizen Science Approaches to Research,498--502,,5,"Citizen Science, Computer Science, Online Experimentation, Social Science",10.1145/2818052.2855516,,,,,,,2016,,Proceedings of the 19th ACM Conference on Computer Supported Cooperative Work and Social Computing Companion,CSCW '16 Companion,,978-1-4503-3950-6,"San Francisco, California, USA",ACM,"New York, NY, USA","In this workshop we will host presentations from researchers performing online experiments and spend a half day helping attendees create experiments using the Volunteer Science platform. Current approaches to online science use new information technologies to collect and processes data and engage citizen scientists across the globe. Programs like Zooniverse, Fold.It, and SciStarter demonstrate the power of recruiting online volunteers as participants and contributors to research. Platforms like Project Implicit and Volunteer Science confirm that a wide range of social scientific research can be conducted with volunteers in online laboratories. In this workshop, a group of scholars with wide-ranging experience in this area will discuss existing and emerging approaches to online experimentation. Participants will learn about designing and running online studies and will be given access to the Volunteer Science research platform (volunteerscience.com) where they will work with researchers to develop, test, and deploy their own online studies."
article,2846035,Alexander  Sokolov and Anton  Verevkin,,,,Web Application for Civil Action: How It Works in Modern Russia,258--264,,7,"Crowdsourcing, civic activism, civic engagement, civil action, social activism, web applications",10.1145/2846012.2846035,,,,,,,2015,,Proceedings of the 2015 2Nd International Conference on Electronic Governance and Open Society: Challenges in Eurasia,EGOSE '15,,978-1-4503-4070-0,"St. Petersburg, Russian Federation",ACM,"New York, NY, USA","The current situation in Russia is characterized by an intensification in civic engagement: there is an increase in citizens' participation in social movements, protests, and various forms of collective action. At the same time, new instruments and mechanisms are being introduced into the organization of civic engagement. Most of them are associated with the development of the Internet, which facilitates communication between members of civic activism.One of these mechanisms is web applications for civil action. These applications make it possible to bring together an unlimited number of persons in order to deal with a variety of social problems. In this respect, it is important to research this form of civic engagement, which is developing in modern Russia and proving to be so effective. Therefore, the aim of this research is to analyze the effectiveness of such web applications in the process of solving problems both on the level of society as a whole and for individual citizens. The analysis of individual applications allows us to reveal the advantages of this kind of cooperation in solving social problems. We propose to evaluate the effectiveness of web applications as a facility of their service to reduce the transaction costs in the search for and analysis of information, and the identification and assessment of possible alternatives in the process of solving both on the level of society as a whole and for individual citizens.In this paper we analyze three major web applications: ""Tak prosto!"" (""So easy!""), ""Nepofigizm"" (""Unindifference""), ""Tak-tak-tak..."" (""Tut tut tut""). Scrutinizing some quantitative indicators, we explore how they operate. These indicators include: website traffic, the number of users involved in social networks, the number of views of discussions and videos created by the web application, and regional coverage. We have used the case-study method with some event-analysis to collect and analyze the data.It is possible to determine the attractiveness and relevance these applications as tools for citizens in solving various problems. Primarily, it must be identified as a new form of cooperation between citizens and non-profit organizations for solving social problems. Taking into account the demand for civic web applications, the ability to significantly reduce the transaction costs of solving the problems of citizens, as well as the growth of users of these web applications, we can speak about the effectiveness of civic applications in Russia."
article,2768562,Douglas  Schuler and Fiorella  De Cindio and Anna  De Liddo,,,,Encouraging Collective Intelligence for the Common Good: How Do We Integrate the Disparate Pieces?,157--159,,3,"argumentation and sensemaking, civic intelligence, collective intelligence, common good, e-democracy, e-participation, online communities, online deliberation, open data, open source software",10.1145/2768545.2768562,,,,,,,2015,,Proceedings of the 7th International Conference on Communities and Technologies,C&#38;T '15,,978-1-4503-3460-0,"Limerick, Ireland",ACM,"New York, NY, USA","Largely due to the Internet and the increase in digital network communications worldwide, researchers, community members, activists, and many others are exploring new ways of empowering citizens with systems that promote Collective Intelligence for the Common Good (CI4CG). We define CI4CG as a distinctive type of collective intelligence, which emerges in civic contexts; it is aimed at generating societal good; improving civic engagement; enabling democratic decision making and deliberation; and producing, collectively built and owned, transformative solutions to complex societal challenges. In this workshop we will survey a variety of online tools and discuss what aspects of CI4CG they are intended to address and how they would be used by communities. An important part of the work will be identifying possible approaches towards integrating the tools technologically and socially. We will try to identify frameworks and mechanisms that various systems could leverage."
article,2464523,Souneil  Park and Minsam  Ko and Jaeung  Lee and Aram  Choi and Junehwa  Song,,,,Challenges and Opportunities of Local Journalism: A Case Study of the 2012 Korean General Election,286--295,,10,"local journalism, social media, web-based interactive systems",10.1145/2464464.2464523,,,,,,,2013,,Proceedings of the 5th Annual ACM Web Science Conference,WebSci '13,,978-1-4503-1889-1,"Paris, France",ACM,"New York, NY, USA","Local journalism is a vital element for governance and civic engagement in local communities. It not only serves as an accountability mechanism for key local institutions but also enhances communities' problem solving skills by setting important agendas and opening public discussions. However, the Internet is posing serious challenges to local news outlets that lead to a significant reduction of accountability reporting and decreasing revenue. In this paper, we study the challenges and opportunities of local journalism in online communication space. We first observe the status of local journalism in online discourse by analyzing the public attention to local news outlets. Using Twitter to capture online public discourse, the study provides a large-scale quantitative analysis of the public's attention to local journalism. We also explore the potential to promote local journalism with information systems through a real deployment study. We propose a context-specific, decision-oriented design approach for local journalism, and evaluate it using Informed Citizen, a web portal to local journalistic contents of electoral districts."
article,2768560,Luigina  Ciolfi and Areti  Damala and Eva  Hornecker and Monika  Lechner and Laura  Maye and Daniela  Petrelli,,,,Cultural Heritage Communities: Technologies and Challenges,149--152,,4,cultural heritage,10.1145/2768545.2768560,,,,,,,2015,,Proceedings of the 7th International Conference on Communities and Technologies,C&#38;T '15,,978-1-4503-3460-0,"Limerick, Ireland",ACM,"New York, NY, USA","This workshop will explore the role of technology supporting and mediating cultural heritage practices for both professional communities (cultural heritage professionals, heritage institutions, etc.) and civic communities (citizen-led heritage initiatives, heritage volunteers, personal and community identified heritage, heritage crowdsourcing, etc.). The workshop - which aims to attract participants from heritage studies and practice, community engagement, digital humanities and human-centred computing - will discuss challenges and future opportunities for technology use and for design and participatory processes in the context of various heritage communities, and the role of different stakeholders in engaging with heritage in a technologically-mediated way."
