"","DocumentTitle","Year","Abstract","PDF_Link"
"1","Collaborative refinement of emergency plans through public engagement",2011,"Emergency plans are fundamental for the speedy and effective response in disaster situations. Plans are often constructed by teams of experts, who apply their expertise to define response procedures, but lack part of location-specific knowledge that can be very relevant to make decisions during responses. Such knowledge is, however, in the minds of people who use those spaces every day, but are not involved in the planning processes. In this paper, we advocate for citizens' involvement in emergency plan elaboration via Public Participation, a mechanism long time used in other areas of e-government. We define the steps of a collaborative process for the elicitation of citizen's knowledge via Public Participation. A summary of the results of an initial case study is used to demonstrate the feasibility of our proposal for improving emergency plans.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6144775"
"2","Value Lab Asia: A Space for Physical and Virtual Interdisciplinary Research and Collaboration",2015,"Many contemporary research tasks require complex decision making and interdisciplinary collaboration among different groups of experts and stakeholders. Nowhere is this more apparent than in the planning and design of future cities - rapidly growing cities where the development and allocation of energy, housing, transportation and other scarce resources requires the active participation of architects, urban planners, government stakeholders and private citizens. In this paper, we show how recent advances in display technology can facilitate such collaboration and create new opportunities for participatory urban planning. We introduce the Value Lab Asia as a model for collaborative planning and value creation, and show how a multi-screen display management framework called the Tool Library integrates the laboratory's physical and software infrastructure with the planning process.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7272625"
"3","Some Ethical Considerations for Gov 2.0 Using Web 2.0",2011,"The Australian Government has decided to use web 2.0 tools to engage, consult, share, and inform citizens through a program called Gov 2.0. The nature of the resulting collaborations shows that the government's aim is to become more open, participatory and accessible. This will change how those charged with carrying out the policies of the government, public servants carry out its business activities. While there are legal, procedural, social, technical, privacy, IP, policy, and cultural issues our aim here is to highlight some ethical concerns. Though early, it is envisaged that this new conjunction will give rise to additional ethical dimensions (especially role confusion ad conflict) due to the new forms of interactions and collaborations. This paper will examine some of the ethical issues for online participation and engagement using web 2.0 technologies and examine some hypothetical cases and how they might be understood.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6119066"
"4","The applications of Neighborhood Transopoly in public participation decision making",2011,"With the rapid urban development in China, there is an increasing demand for public participation in urban decision making. Neighborhood Transopoly is a kind of GIS-based visualization tool for engaging residents in creating more livable communities. Also it is an accessorial tool for the Public Participation Geographic Information Systems (PPGIS). It is very useful for common citizens to participate in the process of development and regeneration of their communities. However, it has not been introduced and used in China currently. This paper initially introduces the history, development, significance, architecture, applications and case study of Neighborhood Transopoly in detail. And then, we analyze its merits and demerits. Finally, based on the research in this paper, we present the possibilities, difficulties, and prospects of the applications of Neighborhood Transopoly integrated with PPGIS in Chinese large cities.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5980911"
"5","Fostering transparency and participation in the data-based society: A sustainable architecture for a social platform for Open Data",2015,"This paper focuses on innovative solutions to the problem of transparency in Public Administrations (PAs) by opening up public data and services so that citizens participation is facilitated and encouraged. We introduce the motivating principles and the architectural solutions to a Social Platform for Open Data, that is designed in order to provide a sustainable and re-usable framework to provide collaborative and social access to Open Data provided by PAs. Our overall objective is to propose a engage citizens by making them able to socially interact over Open Data, by forming or joining existing online communities that share common interest and discuss common issues of relevance to local policy, service delivery, and regulation. The proposed architectural solution is supporting the citizens in a collective relationship among them (as a network helping each other) and with PAs so that the information provided by the Public Administrations is shared, interpreted, personalized, made easier to understand and discussed to assess its meanings. The results and benefits of our approach, as well as potential impact in the pilot experiences that are planned, are also discussed.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7441082"
"6","A proposal for digital mediation for direct public participation during electoral periods",2012,"The current economic and social environment calls for civic involvement. This paper presents a proposal for digital mediation to encourage citizens to become involved and actively participate in electoral debates. The proposal consists of a Web application, iLeger, which seeks to bring together the key stakeholders in an election, voters and candidates, in a central, regulated and neutral site, fostering collaboration and multidirectional communication between them. We present the main functional areas of the Web application as well as the results of a case study about the Portuguese parliamentary elections held in 2011.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6263146"
"7","Towards a Service Platform and Business Model for Mobile Participation",2010,"In an attempt to bring citizens closer to governments, electronic participation services are increasingly receiving attention. Despite technological advances regarding smartphones and georeferencing, mobile extensions to e-participation solutions are lacking. We propose a generic service platform called mGeoWiki, which will provide a mobile interface for several participation services. Within this paper, we describe the first stages of the design research cycle, describing the problem and an initial proposed solution. We explicitly design the service concept simultaneously with the underlying business model in order to enhance the chances of eventual market success. Besides the instantiated service platform and business model, we contribute to literature by generating knowledge on how to design service platforms and business models simultaneously. Follow-up research will be conducted in a large, multi-university, international research project focusing on design and evaluation of the service platform and business model.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5494853"
"8","Delivering Public Value: Synergistic Integration via Gov 2.0",2016,"The potential of Gov 2.0 to facilitate greater communication, participation, and collaboration with citizens has been debated repeatedly in recent literature. However, Gov 2.0 fails to attract a satisfying level of citizen participation and has not lived up to expectations. Therefore, governments need to rethink how to engage the digital population via Gov 2.0 to achieve public value. To engage effectively, there needs to be a synergy between citizens and governments. The proposed research model in this paper aims to explain the synergy between citizens and governments that is needed to create public value via Gov 2.0. This synergistic interaction has emergent properties to create substantial public value, which is expected to result in many benefits including the increase in citizen participation via Gov 2. The theoretical foundation of the proposed research model builds on theories such as co-creation and public value. The paper concludes by suggesting further empirical research to evaluate and refine the research model.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7427559"
"9","Ageing Well and Learning through Online Immersive Participation Using a Multi-user Web 3D Environment",2011,"The Second Life (SL) multi-user virtual environment offers researcher opportunities to experiment with its rich communication, virtual collaboration, and 3-D content creation integrated tools. The SL synthetic world has already revealed great potential for heritage, education and learning but much of the existing applications made have focused on engagement with digital native audiences. The contribution of this paper identifies the importance of developing and designing tailored virtual places which older members of society can utilize easily and safely within this context, with a focused application of addressing social isolation, enabling well being and lifelong learning. In this paper we also discuss our experiences of introducing SL to an elderly community and imparting to them the skills required to interact within the 3D environment and the resources that we developed to support their induction and training. This paper explores the impact of this approach and signposts next steps in experimenting with the use of SL as a domesticated digital technology tool that offers potential to support Ageing Well in our Information Society. We believe that we are the first researchers to conduct a small scaled pilot study of this kind with two elder members of society both aged over 75.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5962105"
"10","Human-agent-robot teamwork",2012,"Researchers and developers are pursuing increasingly sophisticated roles for autonomous systems. Whether working within networked systems as software agents or embedded in robots and unmanned vehicles, what makes these systems valuable is their intelligent, active, and adaptive nature. These qualities are often characterized in intelligent systems literature by the word ""autonomy""-a catch-all label that highlights the qualities of self-directedness and self-sufficiency in task performance. Though continuing research to make machines more active, adaptive, and functional is essential, the point of increasing such proficiencies is not merely to make the machines more independent during times when unsupervised activity is desirable or necessary, but also to make them more capable of sophisticated interdependent joint activity with people and other machines when such is required. That means autonomous systems must support not only fluid orchestration of task handoffs among different people and machines, but also combined participation on shared tasks requiring continuous and close interaction. HART research seeks to bring together the best thinking from diverse research communities in order to advance current and anticipated applications of intelligent human-machine collaboration, including the participation of humans as first-class citizens in collaboration with autonomous systems. This would enable autonomous systems not merely to do things for people, but also to work together with people and other systems-the inevitable next leap-forward required in autonomous system design and deployment.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6212521"
