Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,Abstract
“Crowdsourcing” as a tool for e-participation: two experiences regarding CO2 emissions at municipal level,Electronic Commerce Research,,15,3,10.1007/s10660-015-9183-6,Sonia RoyoAna Yetano,2015,http://link.springer.com/article/10.1007/s10660-015-9183-6,Article,"Public administrations need to find innovative approaches to solving changing problems and to fulfilling their duties. Crowdsourcing in local governments could be defined as the use of new technologies in order to take advantage of citizen knowledge to find solutions to municipal problems. This paper analyzes two experiences of crowdsourcing at local level, and the opinions of the citizens and managers involved, to provide an initial assessment of its effectiveness and suggest avenues for improvement. Engaging citizens in e-participation initiatives is a challenge but, for public sector crowdsourcing initiatives, intrinsic motivation and intangible rewards seem to be enough to motivate participants. Results show that managers find citizens’ propositions viable, but publishing the final results and indicating how the ideas selected will be further developed are pending tasks. Caution is needed as failure to deliver the benefits deemed essential by citizens can make them even more reluctant to engage."
"CARS 2015—Computer Assisted Radiology and Surgery Proceedings of the 29th International Congress and Exhibition Barcelona, Spain, June 24–27, 2015",International Journal of Computer Assisted Radiology and Surgery,,10,1,10.1007/s11548-015-1213-2,,2015,http://link.springer.com/article/10.1007/s11548-015-1213-2,Article,--Abstract not found--
Crisis Crowdsourcing Framework: Designing Strategic Configurations of Crowdsourcing for the Emergency Management Domain,Computer Supported Cooperative Work (CSCW),,23,4 - 6,10.1007/s10606-014-9204-3,Sophia B. Liu,2014,http://link.springer.com/article/10.1007/s10606-014-9204-3,Article,"Crowdsourcing is not a new practice but it is a concept that has gained substantial attention during recent disasters. Drawing from previous work in the crisis informatics, disaster sociology, and computer-supported cooperative work (CSCW) literature, this paper first explains recent conceptualizations of crowdsourcing and how crowdsourcing is a way of leveraging disaster convergence. The CSCW concept of “articulation work” is introduced as an interpretive frame for extracting the salient dimensions of “crisis crowdsourcing.” Then, a series of vignettes are presented to illustrate the evolution of crisis crowdsourcing that spontaneously emerged after the 2010 Haiti earthquake and evolved to more established forms of public engagement during crises. The best practices extracted from the vignettes clarified the efforts to formalize crisis crowdsourcing through the development of innovative interfaces designed to support the articulation work needed to facilitate spontaneous volunteer efforts. Extracting these best practices led to the development of a conceptual framework that unpacks the key dimensions of crisis crowdsourcing. The Crisis Crowdsourcing Framework is a systematic, problem-driven approach to determining the why, who, what, when, where, and how aspects of a crowdsourcing system. The framework also draws attention to the social, technological, organizational, and policy (STOP) interfaces that need to be designed to manage the articulation work involved with reducing the complexity of coordinating across these key dimensions. An example of how to apply the framework to design a crowdsourcing system is offered with a discussion on the implications for applying this framework as well as the limitations of this framework. Innovation is occurring at the social, technological, organizational, and policy interfaces enabling crowdsourcing to be operationalized and integrated into official products and services."
WebMapMedia: a map-based Web application for facilitating participation in spatial planning,Multimedia Systems,,16,1,10.1007/s00530-009-0175-z,Johanna Nuojua,2010,http://link.springer.com/article/10.1007/s00530-009-0175-z,Article,"In this paper, a new map-based Web application developed for facilitating citizen participation in spatial planning is studied. Two planning experiments testing the map-based application called WebMapMedia are featured. The literature review of the paper describes attempts to utilize geographic information systems (GIS) in participation, pointing out severe weaknesses of these systems in acquiring and processing qualitative local knowledge. The results of the experiments show that the Web-based technology supports regular but short-term “lunch break participation” that occurs in the week during the office hours. The other results reveal a symbiotic relationship between conventional and Web-based means of participation and the potential of the Web-based technology to broaden participation. It is also found that if the technology can be adapted to the stages of the planning process, it may facilitate knowledge creation in the process. The Google Maps mashup based on Web 2.0 approach exhibits certain advantages over GIS-based solutions. Based on the results, it is argued that a prerequisite for the full utilization of the Web-based technology in participation is the evolution of the planning process and the attitudes of the planners."
Evaluation on crowdsourcing research: Current status and future direction,Information Systems Frontiers,,16,3,10.1007/s10796-012-9350-4,Yuxiang ZhaoQinghua Zhu,2014,http://link.springer.com/article/10.1007/s10796-012-9350-4,Article,"Crowdsourcing is one of the emerging Web 2.0 based phenomenon and has attracted great attention from both practitioners and scholars over the years. It can facilitate the connectivity and collaboration of people, organizations, and societies. We believe that Information Systems scholars are in a unique position to make significant contributions to this emerging research area and consider it as a new research frontier. However, so far, few studies have elaborated what have been achieved and what should be done. This paper seeks to present a critical examination of the substrate of crowdsourcing research by surveying the landscape of existing studies, including theoretical foundations, research methods, and research foci, and identifies several important research directions for IS scholars from three perspectives—the participant, organization, and system—and which warrant further study. This research contributes to the IS literature and provides insights for researchers, designers, policy-makers, and managers to better understand various issues in crowdsourcing systems and projects."
Journalists as Crowdsourcerers: Responding to Crisis by Reporting with a Crowd,Computer Supported Cooperative Work (CSCW),,23,4 - 6,10.1007/s10606-014-9208-z,Dharma DaileyKate Starbird,2014,http://link.springer.com/article/10.1007/s10606-014-9208-z,Article,"Widespread adoption of new information communication technologies (ICTs) is disrupting traditional models of news production and distribution. In this rapidly changing media landscape, the role of the journalist is evolving. Our research examines how professional journalists within a rural community impacted by Hurricane Irene successfully negotiated a new role for themselves, transforming their journalistic practice to serve in a new capacity as leaders of an online volunteer community. We describe an emergent organization of media professionals, citizen journalists, online volunteers, and collaborating journalistic institutions that provided real-time event coverage. In this rural context, where communications infrastructure is relatively uneven, this ad hoc effort bridged gaps in ICT infrastructure to unite its audience. In this paper, we introduce a new perspective for characterizing these information-sharing activities: the “human powered mesh network” extends the concept of a mesh network to include human actors in the movement of information. Our analysis shows how journalists played a key role in this network, and facilitated the movement of information to those who needed it. These findings also note a contrast between how HCI researchers are designing crowdsourcing platforms for news production and how crowdsourcing efforts are forming during disaster events, suggesting an alternative approach to designing for emergent collaborations in this context."
Crowdsourcing and the crisis-affected community,Information Retrieval,,16,2,10.1007/s10791-012-9203-2,Robert Munro,2013,http://link.springer.com/article/10.1007/s10791-012-9203-2,Article,"This article reports on Mission 4636, a real-time humanitarian crowdsourcing initiative that processed 80,000 text messages (SMS) sent from within Haiti following the 2010 earthquake. It was the first time that crowdsourcing (microtasking) had been used for international relief efforts, and is the largest deployment of its kind to date. This article presents the first full report and analysis of the initiative looking at the accuracy and timeliness in creating structured data from the messages and the collaborative nature of the process. Contrary to all previous papers, studies and media reports about Mission 4636, which have typically chosen to exclude empirical analyses and the involvement of the Haitian population, it is found that the greatest volume, speed and accuracy in information processing was by Haitian nationals, the Haitian diaspora, and those working closest with them, and that no new technologies played a significant role. It is concluded that international humanitarian organizations have been wrongly credited for large-scale information processing initiatives (here and elsewhere) and that for the most part they were largely just witnesses to crisis-affected communities bootstrapping their own recovery through communications technologies. The particular focus is on the role of the diaspora, an important population that are increasingly able to contribute to response efforts thanks to their increased communication potential. It is recommended that future humanitarian deployments of crowdsourcing focus on information processing within the populations they serve, engaging those with crucial local knowledge wherever they happen to be in the world."
ICT Services for open and citizen science,World Wide Web,,18,4,10.1007/s11280-014-0303-3,Mikołaj Morzy,2015,http://link.springer.com/article/10.1007/s11280-014-0303-3,Article,"Ideas of open access, open data and open science are transforming the world of scientific inquiry as we speak. Every day thousands of ordinary citizens are engaging in data collection and data processing, giving rise to the new field of citizen science. Never before has the technology enabled scientists to reach out to such vast numbers of collaborators and show their work to the public. From pattern recognition in Hubble space telescope images of distant galaxies to field observations of migration patterns of birds in the rural areas of United States, the possibilities are countless. Certainly this new trend poses important problems and challenges, but it is also obvious that wide acceptance of citizen science can lead not only to great scientific results, but to the popularization of scientific method among the public. In the paper we examine the current state of citizen science, we outline some of the most interesting and difficult challenges in leading scientific projects on such scale, and we present typologies of citizen science projects. We also provide a survey of ICT tools available for citizen science projects."
Reviving community networks: hyperlocality and suprathresholding in Web 2.0 designs,Personal and Ubiquitous Computing,,19,2,10.1007/s00779-014-0831-y,John M. CarrollBlaine HoffmanKyungsik HanMary Beth Rosson,2015,http://link.springer.com/article/10.1007/s00779-014-0831-y,Article,"
            Social scientists have identified a crisis of community in modern society, for example, Putnam’s (Bowling alone: the collapse and revival of American community. Simon and Schuster, New York, 2000) study of a 40-year decline of community in American society. We argue that the design palette of Web 2.0 offers critical affordances for community information and interaction that enable hyperlocality and suprathresholding. We describe a community-based participatory design research project through which we investigated the design characteristics of hyperlocality and suprathresholding. We speculate on the possibility of a new design model for community networks.
            "
"Political participation via social media: a case study of deliberative quality in the public online budgeting process of Frankfurt/Main, Germany 2013",Universal Access in the Information Society,,14,4,10.1007/s10209-014-0353-4,Alice Katharina PieperMichael Pieper,2015,http://link.springer.com/article/10.1007/s10209-014-0353-4,Article,"If social media are to reinforce sustainability of political decisions, their design has conceptually to take into account the implications of deliberative democracy, which stresses the active cooperation of virtually all citizens of a democracy for the purposes of participatory involvement. Essential to deliberative e-democracy is therefore a technologically supported comprehensive discourse about political subjects which is also called deliberation. Theoretical implications of deliberation are discussed from the angle of political science and social psychology. Finally, the practical implications of deliberation rooted in social media are exemplified by an online citizen involvement for the public budgeting purposes of the city of Frankfurt/Main (Germany)."
