BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Abstract,Custom2,Custom3,Custom4,Custom5
7,,,"Agergaard, Sine; Michelsen la Cour, Annette & Gregersen, Martin Treumer",Politicisation of migrant leisure: a public and civil intervention involving organised sports,Leisure Studies,35,2,March,200--214,2016,,,http://dx.doi.org/10.1080/02614367.2015.1009848,Leisure Studies,,,,,Routledge,,,,,,,"Using the perspective of governmentality this article aims to contribute to an understanding of the rationalities of specific political interventions, and the techniques used to monitor the leisure activities of particular target groups. This process of politicization is revealed here through a case study of an intervention that provides sporting activities in holiday periods for migrant children and adolescents living in so-called socially disadvantaged areas (DGI Playground). The analysis highlights the rationality that the leisure time of migrant youth is a potentially dangerous time slot and they must be engaged in organized sports; that is not only healthy but also civilizing and character forming leisure time activities. Techniques of monitoring the intervention are developed in a partnership between public institutions, regional umbrella organizations and local sports clubs leading to a need for employment of welfare professionals. Furthermore, the article illustrates that in the discursive construction of subject positions for the target group, migrant youth tend to become clients and recipients of public services rather than potential members of civil sports clubs. These findings are supported by ethnographic interviews with participants that show how youngsters who took part in DGI Playground were able to reflect the official aim of the programme and relate this to their desire to have fun and hang out with their friends. The article ends with a discussion of the further scope of applying critical theoretical perspectives to studies of migrants? leisure and sports activities. Using the perspective of governmentality this article aims to contribute to an understanding of the rationalities of specific political interventions, and the techniques used to monitor the leisure activities of particular target groups. This process of politicization is revealed here through a case study of an intervention that provides sporting activities in holiday periods for migrant children and adolescents living in so-called socially disadvantaged areas (DGI Playground). The analysis highlights the rationality that the leisure time of migrant youth is a potentially dangerous time slot and they must be engaged in organized sports; that is not only healthy but also civilizing and character forming leisure time activities. Techniques of monitoring the intervention are developed in a partnership between public institutions, regional umbrella organizations and local sports clubs leading to a need for employment of welfare professionals. Furthermore, the article illustrates that in the discursive construction of subject positions for the target group, migrant youth tend to become clients and recipients of public services rather than potential members of civil sports clubs. These findings are supported by ethnographic interviews with participants that show how youngsters who took part in DGI Playground were able to reflect the official aim of the programme and relate this to their desire to have fun and hang out with their friends. The article ends with a discussion of the further scope of applying critical theoretical perspectives to studies of migrants? leisure and sports activities.",doi: 10.1080/02614367.2015.1009848,,,
7,,,"Bambach, Lee Ann",Save us from “Save Our State”: anti-Sharia legislative efforts across the United States and their impact,Journal of Islamic Law and Culture,13,1,April,72--88,2011,,,http://dx.doi.org/10.1080/1528817X.2012.719286,Journal of Islamic Law and Culture,,,,,Routledge,,,,,,,"This article examines the impact of anti-Sharia legislation in the United States. It discusses what sharia law is generally, noting that particular applications and interpretations will vary depending upon jurisdiction and location, and looks specifically at the contexts in which sharia is observed in the US and considered by US courts. It examines two different types of anti-sharia legislation ? sharia-specific and facially neutral ? concluding that some of such laws and bills are unconstitutional, many are unwise because they can negatively impact businesses and the enforcement of US laws and judgments overseas, and all are unnecessary because the US legal system already possesses the necessary tools to block any use of sharia that would violate a party's constitutional right or violate public policy. The article concludes by noting that although anti-sharia legislation and the supporters of such legislation tend to equate sharia observance with dangerous and anti-American tendencies, the debate over such legislation is a prime example of how Muslims in the US are in fact actively engaging and working within the US political and legal systems. This article examines the impact of anti-Sharia legislation in the United States. It discusses what sharia law is generally, noting that particular applications and interpretations will vary depending upon jurisdiction and location, and looks specifically at the contexts in which sharia is observed in the US and considered by US courts. It examines two different types of anti-sharia legislation ? sharia-specific and facially neutral ? concluding that some of such laws and bills are unconstitutional, many are unwise because they can negatively impact businesses and the enforcement of US laws and judgments overseas, and all are unnecessary because the US legal system already possesses the necessary tools to block any use of sharia that would violate a party's constitutional right or violate public policy. The article concludes by noting that although anti-sharia legislation and the supporters of such legislation tend to equate sharia observance with dangerous and anti-American tendencies, the debate over such legislation is a prime example of how Muslims in the US are in fact actively engaging and working within the US political and legal systems.",doi: 10.1080/1528817X.2012.719286,,,
7,,,"Bell, Simon",From Sustainable Community to Big Society: 10 years learning with the Imagine approach,International Research in Geographical and Environmental Education,20,3,August,247--267,2011,,,http://dx.doi.org/10.1080/10382046.2011.588509,International Research in Geographical and Environmental Education,,,,,Routledge,,,,,,,"Community is a key word in the current UK political vocabulary. As part of Big Society or as a sustainable means to develop social coherence, community has been an area of focus that has attained UK political party interest since 2003. In 1999, the Imagine method was first hinted at in the Earthscan book: ?Sustainability Indicators: measuring the immeasurable?. The approach allows citizens to learn about and self-evaluate their own sustainability by developing their own sustainability indicators in a manner which is participatory and evidence based. Communities could make use of the approach, not in an attempt to arrive at some ?absolute? value of sustainability but in striving to achieve a self-knowing sense of how sustainable they are, by their own measured indicators, and to use this evaluation in discourse with other agencies such as local and national government. The tone of Imagine is to empower citizens to own their own sustainability and to plan for sustainable futures. The method, developed for spatial and temporal sustainability assessment, has been trialled by countries in the Mediterranean region within Coastal Area Management Programmes (CAMPs). Building off this engagement with geographically and culturally diverse communities, the method has been supported by the Homes and Communities Agency (HCA) in the UK and developed into a teaching module that has been subsequently tested at undergraduate, postgraduate, continuing professional development (CPD), Virtual Learning Environment (VLE) and working with practitioners, as a hands-on Masterclass. The resulting course Creating Sustainable Communities (CSC) has now been introduced to 20 UK universities and has seen use by seven of them. This paper tracks the development of the Imagine method, explores its major elements and sets out the learning impacts it has had to date. Community is a key word in the current UK political vocabulary. As part of Big Society or as a sustainable means to develop social coherence, community has been an area of focus that has attained UK political party interest since 2003. In 1999, the Imagine method was first hinted at in the Earthscan book: ?Sustainability Indicators: measuring the immeasurable?. The approach allows citizens to learn about and self-evaluate their own sustainability by developing their own sustainability indicators in a manner which is participatory and evidence based. Communities could make use of the approach, not in an attempt to arrive at some ?absolute? value of sustainability but in striving to achieve a self-knowing sense of how sustainable they are, by their own measured indicators, and to use this evaluation in discourse with other agencies such as local and national government. The tone of Imagine is to empower citizens to own their own sustainability and to plan for sustainable futures. The method, developed for spatial and temporal sustainability assessment, has been trialled by countries in the Mediterranean region within Coastal Area Management Programmes (CAMPs). Building off this engagement with geographically and culturally diverse communities, the method has been supported by the Homes and Communities Agency (HCA) in the UK and developed into a teaching module that has been subsequently tested at undergraduate, postgraduate, continuing professional development (CPD), Virtual Learning Environment (VLE) and working with practitioners, as a hands-on Masterclass. The resulting course Creating Sustainable Communities (CSC) has now been introduced to 20 UK universities and has seen use by seven of them. This paper tracks the development of the Imagine method, explores its major elements and sets out the learning impacts it has had to date.",doi: 10.1080/10382046.2011.588509,,,
7,,,"Borah, Porismita; Edgerly, Stephanie; Vraga, Emily K. & Shah, Dhavan V.",Hearing and Talking to the Other Side: Antecedents of Cross-Cutting Exposure in Adolescents,Mass Communication and Society,16,3,May,391--416,2013,,,http://dx.doi.org/10.1080/15205436.2012.693568,Mass Communication and Society,,,,,Routledge,,,,,,,"Although scholars have enthusiastically examined the outcomes of cross-cutting exposure, few studies have explored its antecedents. Moreover, most studies have attended to adults. But it is during adolescence and early adulthood that citizens are most likely to be socialized into valuing and engaging in heterogeneous discussion. The present study employs a panel survey of American adolescents, age 12 to 17, to examine the predictive power of home, school, and media use variables on two outcomes related to valuing and talking to the other side. Our findings demonstrate that adolescents? attitudes toward valuing cross-cutting exposure as well as indulging in heterogeneous talk are consistently predicted by concept-oriented home environment and school curriculum. Among the media variables, cable news negatively and newspaper and online news positively influenced our outcome variables. Implications are discussed. Although scholars have enthusiastically examined the outcomes of cross-cutting exposure, few studies have explored its antecedents. Moreover, most studies have attended to adults. But it is during adolescence and early adulthood that citizens are most likely to be socialized into valuing and engaging in heterogeneous discussion. The present study employs a panel survey of American adolescents, age 12 to 17, to examine the predictive power of home, school, and media use variables on two outcomes related to valuing and talking to the other side. Our findings demonstrate that adolescents? attitudes toward valuing cross-cutting exposure as well as indulging in heterogeneous talk are consistently predicted by concept-oriented home environment and school curriculum. Among the media variables, cable news negatively and newspaper and online news positively influenced our outcome variables. Implications are discussed.",doi: 10.1080/15205436.2012.693568,,,
7,,,"Castañeda, Ernesto",The Indignados of Spain: A Precedent to Occupy Wall Street,Social Movement Studies,11,3-4,August,309--319,2012,,,http://dx.doi.org/10.1080/14742837.2012.708830,Social Movement Studies,,,,,Routledge,,,,,,,"Faced with an economic crisis, people took to the streets and camped in urban plazas throughout Spain in May 2011. Many people were successfully mobilized by a generalized sense of frustration, indignation and impotency in the face of coming elections where many citizens felt there were no real alternative economic and social policies offered, nor the possibility to vote for government programmes that would deal with the crisis in a way that prioritized the concerns of the population. In online discussions, concerned proactive participants called for ?A Real Democracy Now? that represented the concerns and priorities of regular Spanish citizens. In order to make their discontent visible, they called for people to camp and ?occupy? public spaces together in order to force politicians and elites to face the generalized discontent with the dire economic prospects. This paper builds on non-participant observation of the Indignados movement in Barcelona, Spain, conducted in the summer of 2011. It looks at the consolidation of the ?occupy? contentious performance to protest income inequality and economic policy. It argues that this movement is a direct precedent to the Occupy Wall Street movement in the USA. The 15 May movement showed that not only people in North Africa had reasons to take the streets and engage in collective action, but many citizens in the developed world also had reasons to take public squares and show their dissatisfaction with the economic and political status quo. Faced with an economic crisis, people took to the streets and camped in urban plazas throughout Spain in May 2011. Many people were successfully mobilized by a generalized sense of frustration, indignation and impotency in the face of coming elections where many citizens felt there were no real alternative economic and social policies offered, nor the possibility to vote for government programmes that would deal with the crisis in a way that prioritized the concerns of the population. In online discussions, concerned proactive participants called for ?A Real Democracy Now? that represented the concerns and priorities of regular Spanish citizens. In order to make their discontent visible, they called for people to camp and ?occupy? public spaces together in order to force politicians and elites to face the generalized discontent with the dire economic prospects. This paper builds on non-participant observation of the Indignados movement in Barcelona, Spain, conducted in the summer of 2011. It looks at the consolidation of the ?occupy? contentious performance to protest income inequality and economic policy. It argues that this movement is a direct precedent to the Occupy Wall Street movement in the USA. The 15 May movement showed that not only people in North Africa had reasons to take the streets and engage in collective action, but many citizens in the developed world also had reasons to take public squares and show their dissatisfaction with the economic and political status quo.",doi: 10.1080/14742837.2012.708830,,,
7,,,"Chester, David K. & Duncan, Angus M.","Responding to disasters within the Christian tradition, with reference to volcanic eruptions and earthquakes",Religion,40,2,April,85--95,2010,,,http://dx.doi.org/10.1016/j.religion.2009.12.005,Religion,,,,,Routledge,,,,,,,"Abstract Particularly within Christianity and Judaism, theodicy is defined as any attempt to reconcile notions of a loving and just God with the reality of human suffering. The paper begins with a review of the ways in which the Hebrew and Christian scriptures (i.e. the Old and New Testaments) have interpreted disasters, particularly those caused by earthquakes and volcanic eruptions. Theological analysis of disasters did not end at the close of the biblical era, but has continued throughout Christian history and a number of so called Leibnizian philosophical models of theodicy have been developed. These are critically introduced. In the past few decades there has been a sea?change in both Christian attitudes towards disasters and in the ways in which losses are viewed by hazard researchers. From the perspective of the latter, an approach that envisions disasters as being primarily caused by extreme physical events has been largely replaced by one in which disasters are studied as social constructs, with a greater emphasis being placed on human vulnerability. Academic scholarship on the Leibnizian philosophical models continues, but greater prominence is now given to viewing disasters as events that represent human sinfulness which is manifested in national and international disparities in wealth, poverty, hazard preparedness and disaster losses. Finally, it is proposed that these new hazard analytical and theological perspectives are synergetic: allowing on the one hand churches, their members as well as their leaders, more fully to engage in disaster relief; whilst, on the other, enabling civil defence planners more effectively to use the often considerable human and financial resources of Christian communities and their charitable agencies Abstract Particularly within Christianity and Judaism, theodicy is defined as any attempt to reconcile notions of a loving and just God with the reality of human suffering. The paper begins with a review of the ways in which the Hebrew and Christian scriptures (i.e. the Old and New Testaments) have interpreted disasters, particularly those caused by earthquakes and volcanic eruptions. Theological analysis of disasters did not end at the close of the biblical era, but has continued throughout Christian history and a number of so called Leibnizian philosophical models of theodicy have been developed. These are critically introduced. In the past few decades there has been a sea?change in both Christian attitudes towards disasters and in the ways in which losses are viewed by hazard researchers. From the perspective of the latter, an approach that envisions disasters as being primarily caused by extreme physical events has been largely replaced by one in which disasters are studied as social constructs, with a greater emphasis being placed on human vulnerability. Academic scholarship on the Leibnizian philosophical models continues, but greater prominence is now given to viewing disasters as events that represent human sinfulness which is manifested in national and international disparities in wealth, poverty, hazard preparedness and disaster losses. Finally, it is proposed that these new hazard analytical and theological perspectives are synergetic: allowing on the one hand churches, their members as well as their leaders, more fully to engage in disaster relief; whilst, on the other, enabling civil defence planners more effectively to use the often considerable human and financial resources of Christian communities and their charitable agencies",doi: 10.1016/j.religion.2009.12.005,,,
7,,,"Fernandes, Juliana; Giurcanu, Magda; Bowers, Kevin W. & Neely, Jeffrey C.",The Writing on the Wall: A Content Analysis of College Students' Facebook Groups for the 2008 Presidential Election,Mass Communication and Society,13,5,October,653--675,2010,,,http://dx.doi.org/10.1080/15205436.2010.516865,Mass Communication and Society,,,,,Routledge,,,,,,,"This study looks at student Facebook groups supporting the 2008 presidential candidates, John McCain and Barack Obama, from largest land-grant universities in seven battleground states. The findings of a content analysis of wall posts show that students are using Facebook to facilitate dialog and civic political involvement. In opposition to pro-McCain groups, pro-Obama groups have wider time frame coverage and demonstrate substantively higher site activity. Political discussions related to the political civic process, policy issues, campaign information, candidate issues, and acquisition of campaign products dominate across groups and election seasons. An examination of the content of wall posts based on the four categories of the Michigan Model of voting behavior (partisanship, group affiliation, candidate image, and political/campaign issues) reveals that in the primary season, pro-Obama groups focus mostly on short-term topics (candidate image and campaign issues), whereas pro-McCain groups focus mostly on long-term topics (partisanship and group affiliation). The overall findings of this study suggest that youth online communities actively follow campaigns and post comments that foster the political dialog and civic engagement. This study looks at student Facebook groups supporting the 2008 presidential candidates, John McCain and Barack Obama, from largest land-grant universities in seven battleground states. The findings of a content analysis of wall posts show that students are using Facebook to facilitate dialog and civic political involvement. In opposition to pro-McCain groups, pro-Obama groups have wider time frame coverage and demonstrate substantively higher site activity. Political discussions related to the political civic process, policy issues, campaign information, candidate issues, and acquisition of campaign products dominate across groups and election seasons. An examination of the content of wall posts based on the four categories of the Michigan Model of voting behavior (partisanship, group affiliation, candidate image, and political/campaign issues) reveals that in the primary season, pro-Obama groups focus mostly on short-term topics (candidate image and campaign issues), whereas pro-McCain groups focus mostly on long-term topics (partisanship and group affiliation). The overall findings of this study suggest that youth online communities actively follow campaigns and post comments that foster the political dialog and civic engagement.",doi: 10.1080/15205436.2010.516865,,,
7,,,"Group, The E‐Science Directors' Forum Strategy Working; Atkinson, Malcolm; Britton, David; Coveney, Peter; De Roure, David; Garnett, Ned; Geddes, Neil; Gurney, Robert; Haines, Keith; Hughes, Lorna; Ingram, David; Jeffreys, Paul; Lyon, Liz; Osborne, Ian; Perrott, Ron; Procter, Rob; Rusbridge, Chris; Trefethen, Anne & Watson, Paul",Century‐of‐Information Research (CIR): A Strategy for Research and Innovation in the Century of Information,Prometheus,27,1,March,27--45,2009,,,http://dx.doi.org/10.1080/08109020802657479,Prometheus,,,,,Routledge,,,,,,,"Abstract More data will be produced in the next five years than in the entire history of human kind, a digital deluge that marks the beginning of the Century of Information. Through a year?long consultation with UK researchers, a coherent strategy has been developed, which will nurture Century?of?Information Research (CIR); it crystallises the ideas developed by the e?Science Directors? Forum Strategy Working Group. This paper is an abridged version of their latest report which can be found at: http://wikis.nesc.ac.uk/escienvoy/Century_of_Information_Research_Strategy which also records the consultation process and the affiliations of the authors. This document is derived from a paper presented at the Oxford e?Research Conference 2008 and takes into account suggestions made in the ensuing panel discussion. The goals of the CIR Strategy are to facilitate the growth of UK research and innovation that is data and computationally intensive and to develop a new culture of ?digital?systems judgement? that will equip research communities, businesses, government and society as a whole, with the skills essential to compete and prosper in the Century of Information. The CIR Strategy identifies a national requirement for a balanced programme of coordination, research, infrastructure, translational investment and education to empower UK researchers, industry, government and society. The Strategy is designed to deliver an environment which meets the needs of UK researchers so that they can respond agilely to challenges, can create knowledge and skills, and can lead new kinds of research. It is a call to action for those engaged in research, those providing data and computational facilities, those governing research and those shaping education policies. The ultimate aim is to help researchers strengthen the international competitiveness of the UK research base and increase its contribution to the economy. The objectives of the Strategy are to better enable UK researchers across all disciplines to contribute world?leading fundamental research; to accelerate the translation of research into practice; and to develop improved capabilities, facilities and context for research and innovation. It envisages a culture that is better able to grasp the opportunities provided by the growing wealth of digital information. Computing has, of course, already become a fundamental tool in all research disciplines. The UK e?Science programme (2001?06)?since emulated internationally?pioneered the invention and use of new research methods, and a new wave of innovations in digital?information technologies which have enabled them. The Strategy argues that the UK must now harness and leverage its own, plus the now global, investment in digital?information technology in order to spread the benefits as widely as possible in research, education, industry and government. Implementing the Strategy would deliver the computational infrastructure and its benefits as envisaged in the Science  provide easily used, pervasive and sustained e?Infrastructure for all research; enlarge the productive research community which exploits the new methods efficiently; generate capacity, propagate knowledge and develop skills via new curricula; and develop coordination mechanisms to improve the opportunities for interdisciplinary research and to make digital?infrastructure provision more cost effective. To gain the best value for money strategic coordination is required across a broad spectrum of stakeholders. A coherent strategy is essential in order to establish and sustain the UK as an international leader of well?curated national data assets and computational infrastructure, which is expertly used to shape policy, support decisions, empower researchers and to roll out the results to the wider benefit of society. The value of data as a foundation for wellbeing and a sustainable society must be appreciated; national resources must be more wisely directed to the collection, curation, discovery, widening access, analysis and exploitation of these data. Every researcher must be able to draw on skills, tools and computational resources to develop insights, test hypotheses and translate inventions into productive use, or to extract knowledge in support of governmental decision making. This foundation plus the skills developed will launch significant advances in research, in business, in professional practice and in government with many consequent benefits for UK citizens. The Strategy presented here addresses these complex and interlocking requirements. Abstract More data will be produced in the next five years than in the entire history of human kind, a digital deluge that marks the beginning of the Century of Information. Through a year?long consultation with UK researchers, a coherent strategy has been developed, which will nurture Century?of?Information Research (CIR); it crystallises the ideas developed by the e?Science Directors? Forum Strategy Working Group. This paper is an abridged version of their latest report which can be found at: http://wikis.nesc.ac.uk/escienvoy/Century_of_Information_Research_Strategy which also records the consultation process and the affiliations of the authors. This document is derived from a paper presented at the Oxford e?Research Conference 2008 and takes into account suggestions made in the ensuing panel discussion. The goals of the CIR Strategy are to facilitate the growth of UK research and innovation that is data and computationally intensive and to develop a new culture of ?digital?systems judgement? that will equip research communities, businesses, government and society as a whole, with the skills essential to compete and prosper in the Century of Information. The CIR Strategy identifies a national requirement for a balanced programme of coordination, research, infrastructure, translational investment and education to empower UK researchers, industry, government and society. The Strategy is designed to deliver an environment which meets the needs of UK researchers so that they can respond agilely to challenges, can create knowledge and skills, and can lead new kinds of research. It is a call to action for those engaged in research, those providing data and computational facilities, those governing research and those shaping education policies. The ultimate aim is to help researchers strengthen the international competitiveness of the UK research base and increase its contribution to the economy. The objectives of the Strategy are to better enable UK researchers across all disciplines to contribute world?leading fundamental research; to accelerate the translation of research into practice; and to develop improved capabilities, facilities and context for research and innovation. It envisages a culture that is better able to grasp the opportunities provided by the growing wealth of digital information. Computing has, of course, already become a fundamental tool in all research disciplines. The UK e?Science programme (2001?06)?since emulated internationally?pioneered the invention and use of new research methods, and a new wave of innovations in digital?information technologies which have enabled them. The Strategy argues that the UK must now harness and leverage its own, plus the now global, investment in digital?information technology in order to spread the benefits as widely as possible in research, education, industry and government. Implementing the Strategy would deliver the computational infrastructure and its benefits as envisaged in the Science  provide easily used, pervasive and sustained e?Infrastructure for all research; enlarge the productive research community which exploits the new methods efficiently; generate capacity, propagate knowledge and develop skills via new curricula; and develop coordination mechanisms to improve the opportunities for interdisciplinary research and to make digital?infrastructure provision more cost effective. To gain the best value for money strategic coordination is required across a broad spectrum of stakeholders. A coherent strategy is essential in order to establish and sustain the UK as an international leader of well?curated national data assets and computational infrastructure, which is expertly used to shape policy, support decisions, empower researchers and to roll out the results to the wider benefit of society. The value of data as a foundation for wellbeing and a sustainable society must be appreciated; national resources must be more wisely directed to the collection, curation, discovery, widening access, analysis and exploitation of these data. Every researcher must be able to draw on skills, tools and computational resources to develop insights, test hypotheses and translate inventions into productive use, or to extract knowledge in support of governmental decision making. This foundation plus the skills developed will launch significant advances in research, in business, in professional practice and in government with many consequent benefits for UK citizens. The Strategy presented here addresses these complex and interlocking requirements.",doi: 10.1080/08109020802657479,,,
7,,,"Hegarty, Joseph A.",Achieving Excellence by Means of Critical Reflection and Cultural Imagination in Culinary Arts and Gastronomy Education,Journal of Culinary Science & Technology,9,2,April,55--65,2011,,,http://dx.doi.org/10.1080/15428052.2011.580705,Journal of Culinary Science & Technology,,,,,Taylor & Francis,,,,,,,"This article aims to demonstrate that in raising the discipline of culinary arts and gastronomy beyond the craft/vocational level to under/postgraduate degree level, educators need to become critically reflective and knowledgeable (qualified) and enable students to learn how to learn, to become entrepreneurial and technological innovators, and to lead worthwhile lives as citizens, with a sense of mission and responsibility for the planet and the poor. It draws on a lifetime's study and experience in culinary arts education, transforming craft-based vocational programs into cognitive educational ones, preparing students to become more than cooking operatives, and introducing concepts that establish culinary arts and gastronomy as serious disciplines worthy of full academic status. Critical reflection allows practitioners to think critically about their practices. It allows educators to become critically reflexive practitioners. It facilitates culinary arts and gastronomy students and researchers. It allows them to become resource persons (consultants), offering guidelines and suggesting approaches to critical thinking and problem solving. Critical reflection engages culinary arts and gastronomy students and researchers in exploring the learning?teaching process in a manner that enhances the development of the discipline's knowledge base. It involves both the study of a situation with a view to improving the quality of the action within it and challenging the orthodoxy of traditional methods of education in the field. In short, it is an approach to excellence. In seeking to raise the academic level of culinary, gastronomy, and hospitality education to excellence, lecturers need to enable students to become involved in the assessment process by becoming critically reflective learners. Students must learn how to learn, to assess their own and others' learning through collaborative, peer, and self-assessment processes. This article aims to demonstrate that in raising the discipline of culinary arts and gastronomy beyond the craft/vocational level to under/postgraduate degree level, educators need to become critically reflective and knowledgeable (qualified) and enable students to learn how to learn, to become entrepreneurial and technological innovators, and to lead worthwhile lives as citizens, with a sense of mission and responsibility for the planet and the poor. It draws on a lifetime's study and experience in culinary arts education, transforming craft-based vocational programs into cognitive educational ones, preparing students to become more than cooking operatives, and introducing concepts that establish culinary arts and gastronomy as serious disciplines worthy of full academic status. Critical reflection allows practitioners to think critically about their practices. It allows educators to become critically reflexive practitioners. It facilitates culinary arts and gastronomy students and researchers. It allows them to become resource persons (consultants), offering guidelines and suggesting approaches to critical thinking and problem solving. Critical reflection engages culinary arts and gastronomy students and researchers in exploring the learning?teaching process in a manner that enhances the development of the discipline's knowledge base. It involves both the study of a situation with a view to improving the quality of the action within it and challenging the orthodoxy of traditional methods of education in the field. In short, it is an approach to excellence. In seeking to raise the academic level of culinary, gastronomy, and hospitality education to excellence, lecturers need to enable students to become involved in the assessment process by becoming critically reflective learners. Students must learn how to learn, to assess their own and others' learning through collaborative, peer, and self-assessment processes.",doi: 10.1080/15428052.2011.580705,,,
7,,,"Hooghe, Marc & Oser, Jennifer","Trade union density and social expenditure: a longitudinal analysis of policy feedback effects in OECD countries, 1980-2010",Journal of European Public Policy,,,November,1--23,2015,,,http://dx.doi.org/10.1080/13501763.2015.1102952,Journal of European Public Policy,,,,,Routledge,,,,,,,"ABSTRACTTwo causal mechanisms have been invoked to explain the positive correlation between union membership and social expenditure. Unions try to influence policy, but they are also more successful in mobilizing members in economic systems in which actors engage in co-ordinated strategic interaction. Applying insights from the policy feedback and comparative capitalism literatures, our analysis indicates that union density is a determinant of social expenditure. A strong policy feedback effect is also present whereby social expenditure has a positive effect on union density. We find a positive effect of union density on social expenditure in co-ordinated market economies, but not in liberal market economies. We discuss the implications of these findings for citizens? capacity to influence policy in varied contexts and for the ?varieties of capitalism? literature, and we close with some speculation about the implications of these findings in the current economic downturn. ABSTRACTTwo causal mechanisms have been invoked to explain the positive correlation between union membership and social expenditure. Unions try to influence policy, but they are also more successful in mobilizing members in economic systems in which actors engage in co-ordinated strategic interaction. Applying insights from the policy feedback and comparative capitalism literatures, our analysis indicates that union density is a determinant of social expenditure. A strong policy feedback effect is also present whereby social expenditure has a positive effect on union density. We find a positive effect of union density on social expenditure in co-ordinated market economies, but not in liberal market economies. We discuss the implications of these findings for citizens? capacity to influence policy in varied contexts and for the ?varieties of capitalism? literature, and we close with some speculation about the implications of these findings in the current economic downturn.",doi: 10.1080/13501763.2015.1102952,,,
