Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,URL,Booktitle,Chapter,Abstract
doi:10.1108/SBM-12-2011-0088,"Agyemang, Kwame J.A.",Toward a framework of “athlete citizenship” in professional sport through authentic community stakeholder engagement,"Sport, Business and Management: An International Journal",4,1,,26-37,2014," http://dx.doi.org/10.1108/SBM-12-2011-0088 
",,,"Purpose – While there is extant research regarding corporate citizenship, the literature negates the micro level of analysis as it only concentrates on macro and/or meso levels. Utilizing sport as a context, more specifically, professional athletes, the purpose of this paper is to introduce a concept termed athlete citizenship. The author defines athlete citizenship as the manner in which a professional athlete conducts himself or herself (on and away from competition) and makes a positive impact on society. The author centralizes community stakeholder engagement as one method of exemplifying athlete citizenship qualities. In doing so, the author attempts to provide professional athletes and their managers with a framework to engage community stakeholders. Design/methodology/approach – Given the scope of what is asked of professional athletes in the current age, the author adopts Sequeira and Warner's (2007) framework on how organizations can engage community stakeholders and applies it to professional athletes. Findings – The author argues that by carrying out authentic community stakeholder engagement, professional athletes can witness strategic benefits such as eliminating resentment, building a positive reputation, attaining revenue-generating ventures, and enhancing their brand. Originality/value – This paper is the first to discuss stakeholder engagement among professional athletes, the notion of athlete citizenship and how these can produce strategic benefits."
doi:10.1108/JKM-10-2013-0392,"Alberghini, Elena; Cricelli, Livio & Grimaldi, Michele",A methodology to manage and monitor social media inside a company: a case study,Journal of Knowledge Management,18,2,,255-277,2014," http://dx.doi.org/10.1108/JKM-10-2013-0392 
",,,"Purpose – This paper aims to discuss the individual participation and involvement affecting the user engagement in social media and to answer the following research questions: Is it possible to measure the individual participation and involvement of social media within organizations? Which factors should be analysed in order to increase the individual participation in social media? Which KPIs should be selected in order to increase the user 					' 				s engagement and increase individual participation in social media? Can social media in a company be measured in terms of their impact on KM?Design/methodology/approach – This paper presents a case study that describes how Key Performance Indicators (KPIs) are used to monitor and manage the applications of social technologies, which include many tools facilitating the participation and collaboration on the web. The case study was applied to the information and communication technology area of Eni S.p.A., which is an integrated energy company active in over 70 countries in the world.Findings – Based on the indications obtained from the case study, a methodology is proposed to select and develop the appropriate KPIs in order to manage and monitor the application of social technologies. The methodology turned out to be able to monitor collaboration and knowledge sharing activities among employees and to incentivize participation and involvement of employees who use the company 					' 				s social media.Practical implications – Organizations can use the suggested methodology as a guideline for managing and monitoring social media inside a company. The possibility of continuously modifying the adopted social media tool by means of corrective actions together with the possibility of adapting the KPIs to new situations make the present methodology an efficient management approach to take on the multifaceted activities of a social media environment.Originality/value – Few case studies dealing with the applications regarding the implementation and management of social technologies within organizations have been carried out. Similarly, even if some empirical studies have been proposed to analyse what motivates and prevents employees from sharing their knowledge through social media, there appears to be a lack of studies which have taken into consideration the evaluation of the actual benefits in terms of individual involvement and participation, knowledge sharing and increase in performance."
doi:10.1108/17538330911013898,"Argiolas, G.; Cabras, S.; Dessì, C. & Floris, M.",Building innovative models of territorial governance,Journal of Place Management and Development,2,3,,178-210,2009," http://dx.doi.org/10.1108/17538330911013898 
",,,"Purpose – The purpose of this paper is to examine public‐private partnerships with a particular focus on the impact that such partnerships have on territorial governance. These organizations are spread all over the world with the goal of promoting community participation and sustainable development, and engaging citizens and organizations in the decision making of local governance. This situation underlines important changes in governance and territorial governance models.Design/methodology/approach – A mix of qualitative and quantitative approaches are used. Analysing the existing literature, the paper focuses on specific type of public‐private partnership: the Local Action Group (LAG). Specifically, this study focuses on 63 Italian LAGs, in order to highlight their role in the challenges that local governance has to face.Findings – Findings suggest that public‐private partnerships can represent a new model of governance – the Partnership Governance – with features that differentiate this form from other models.Originality/value – Through a relatively novel statistical technique, combined with interviews, document analysis and direct observations, on the one hand the public‐private partnership phenomenon is observed, and on the other hand, a new mode of governance that is affecting the worldwide scenario in a current era and that is introducing ethical principles in governance systems is conceived."
doi:10.1108/17506161011081309,"Axelsson, Karin; Melin, Ulf & Lindgren, Ida","Exploring the importance of citizen participation and involvement in e‐government projects: Practice, incentives, and organization","Transforming Government: People, Process and Policy",4,4,,299-321,2010," http://dx.doi.org/10.1108/17506161011081309 
",,,"This study has been financially supported by the Swedish Agency for Innovation Systems (VINNOVA), through the VINNOVA programme “Innovative development of cross‐boundary public e‐services” within the Growth Area E‐services in public administration."
doi:10.1108/14636681111109660,"Barker, Katharine E.; Cox, Deborah & Sveinsdottir, Thordis",Foresight on the future of public research metrology in Europe,Foresight,13,1,,5-18,2011," http://dx.doi.org/10.1108/14636681111109660 
",,,"The authors would like to acknowledge the support of the European Commission, DG Research contract number 30‐CE‐0243755/00‐51 and of Technopolis Plc, Brighton, UK, contract coordinator. Equal credit in production of this article is afforded to the authors. Received: 13 October 2010. Revised: 1 November 2010. Accepted: 1 November 2010"
doi:10.1108/S2043-9059(2014)0000006005,"Bauer, Theresa","The Responsibilities of Social Networking Companies: Applying Political CSR Theory to Google, Facebook and Twitter",,,,,259-282,,http://www.emeraldinsight.com/doi/abs/10.1108/S2043-9059%282014%290000006005,Communicating Corporate Social Responsibility: Perspectives and Practice,22," Abstract  Purpose Social networking sites (SNS) are enjoying growing popularity and have triggered new ethical issues including risks of deception, social grooming, cyber-bullying and surveillance. This development along with the growing power of SNS providers calls for an investigation of the CSR engagement of SNS companies. The chapter examines to what extent three prominent providers – Google, Facebook and Twitter – fulfill their responsibilities.   Methodology/approach The chapter draws heavily on a politicized concept of CSR, namely ‘corporate citizenship’ (Crane, Matten, & Moon, 2008a; Matten & Crane, 2005) and ‘political CSR’ (Scherer & Palazzo, 2007, 2011) and discusses the role SNS providers play in administering citizenship rights. The chapter takes a qualitative case study approach.   Findings Facebook, Twitter and Google have not only made clear commitments to act responsibly, they actually enhance the citizenship status of their users in many ways, e.g. by offering a platform for democracy activists. Deficiencies and contradictions also become visible, e.g. SNS providers inhibit citizenship by failing to provide sufficient privacy protection.   Research limitations/implications The chapter is limited by its case study approach, but provides valuable insights to an industry with considerable influence. It contributes to CSR research by applying and testing the politicized concept of CSR in the context of SNS providers.   Originality/value Although SNS have received appraisal as effective tools of CSR communication, there has been little attention to CSR policy and practice of the companies providing social networks. This is unfortunate since the activities of SNS providers directly impact on millions of users worldwide.  "
doi:10.1108/S0198-8719(2011)0000022012,"Bonilla-Silva, Eduardo & Seamster, Louise","The Sweet Enchantment of Color Blindness in Black Face: Explaining the “Miracle,” Debating the Politics, and Suggesting a Way for Hope to be “For Real” in America",,,,,139-175,,http://www.emeraldinsight.com/doi/abs/10.1108/S0198-8719%282011%290000022012,Rethinking Obama,14,"This essay tackles the Obama “phenomenon,” from his candidacy to his election, as a manifestation of the new “color-blind racism” that has characterized U.S. racial politics in the post-civil rights era. Rather than symbolizing the “end of race,” or indeed a “miracle,” Obama's election is a predictable result of contemporary U.S. electoral politics. In fact, Obama is a middle-of-the-road Democrat whose policies since taking office have been almost perfectly in line with his predecessors, especially in terms of his failure to improve the lot of blacks and other minorities. In this essay, I review the concept of color-blind racism and its application to the Obama phenomenon. I also revisit some of my past predictions for Obama's presidency and evaluate their accuracy halfway through his term. Finally, I offer suggestions for constructing a genuine social movement to push Obama and future politicians to provide real, progressive “change we can believe in.”This chapter is based on a chapter I added for the third edition of my book, Racism without Racists. Louise Seamster, a wonderful graduate student at Duke, helped me update some material, locate new sources, and rework some sections, as well as abridge some of the many footnotes (interested readers can consult the chapter). I kept the first person to maintain the more direct and engaged tone of the original piece and because the ideas (the good, the bad, and the ugly ones) in the chapter are mine, and thus, I wish to remain entirely responsible for them."
doi:10.1108/S2050-206020150000009002,"Brubaker, Pamela Jo; Horning, Michael & Toula, Christopher M.",Engaging Young Voters in the Political Process: U.S. Presidential Debates and YouTube,,,,,29-51,,http://www.emeraldinsight.com/doi/abs/10.1108/S2050-206020150000009002,Communication and Information Technologies Annual,9," Abstract The growth in popularity of new media has led some television networks in the United States to experiment with alternative forms of political debate by encouraging viewers of all ages to submit video questions to political candidates. Surprisingly, however, experimentation with this new type of debate format in the 2008 U.S. presidential election cycle did not lead to the adoption of new debate formats in the subsequent 2012 election cycle, despite its success with viewing audiences. This study examines various debate formats to understand the value of participatory, user-generated debate question formats versus more traditional debate question formats whereby moderators or live audience members ask presidential candidates scripted questions. Using a between-subjects experiment, this study examines four types of televised debate formats to assess young adult viewers’ impressions of each format as well as image perceptions of a political candidate and the individual posing the debate question. The findings suggest debate formats impact perceptions of a political candidate’s image differently for young men and young women. In addition, varying the debate format impacts young voters’ perceptions of debate questioners as well as their overall perceptions of the debate. Implications for viewing audiences are discussed. U.S. presidential candidates should embrace presidential debate formats that encourage citizens to participate in the political process via new media technologies. This study shows implementing more engaging and interactive presidential debate formats can positively impact young voters’ perceptions. "
doi:10.1108/09699981211259595,"da C.L. Alves, Thaís; Milberg, Colin & Walsh, Kenneth D.","Exploring lean construction practice, research, and education","Engineering, Construction and Architectural Management",19,5,,512-525,2012," http://dx.doi.org/10.1108/09699981211259595 
",,,"Purpose – The purpose of this paper is to investigate the history of dissemination and use of lean concepts in construction and potential challenges for continued use, as application of lean concepts transitions from a small group of first adopters to an industry‐wide community.Design/methodology/approach – Using insights obtained from a meeting with industry practitioners, literature review, and published cases in which different approaches were used to disseminate lean production/construction, evidence is presented that supports these challenges.Findings – The authors identify three challenges facing lean construction (LC) practitioners, researchers, and educators. One challenge is lean has many meanings (whether denoted or connoted) when applied to construction. Another challenge is to have academics constantly working with industry practitioners to keep working on the adaptation of concepts/systems and not only tools. The third challenge is that without a sustained effort to engage people in meaningful learning experiences, LC may be viewed as a fad in the construction industry.Research limitations/implications – The discussion presents the authors’ interpretation of facts and existing literature reviewed to support the arguments made. Moreover, while the literature reviewed addresses sources from different parts of the world, the preponderance of the authors’ research activities and experience are limited to two countries, Brazil and the USA.Practical implications – In the face of overwhelming interest in lean by the construction industry, research on effective methods for disseminating lean concepts is overdue.Social implications – By partnering with industry practitioners who are already implementing LC or want to start the journey, academics have access to projects (labs in the real world) and can bring back to the classroom examples to educate future generations of professionals who can push for changes in the industry. This partnership also helps the validation of experiments regarding LC implementation, as data can be collected and analyzed in a scientific way, and can be documented for dissemination within the industry.Originality/value – The paper discusses challenges related to the evolution of LC in the industry, with the aim of forming a basis for an informed discussion on how to promote sustained and informed learning in construction."
doi:10.1108/S2053-769720150000024013,"Chavez, Jenina Joy & Piper, Nicola",The Reluctant Leader: The Philippine Journey from Labor Export to Championing a Rights-Based Approach to Overseas Employment,,,,,305-344,,http://www.emeraldinsight.com/doi/abs/10.1108/S2053-769720150000024013,Asian Leadership in Policy and Governance,17," Abstract At global fora which discuss the regulation of international migration the Philippine government is typically hailed a “good practice example” for its institutional as well as legal framework and proactive interest in the welfare of its citizens. The Philippine history of migration policy making is indeed shaped by a shift from “exporting workers” to an increasingly comprehensive rights-sensitive approach that addresses most aspects of migration: the regulation of recruitment agencies, pre-migration training, insurance systems, overseas voting rights, consular services, social rights of the left behind, and re-integration of returned migrants. This state of affairs, however, has not always been like that and is largely the result of activism by the vibrant migrant rights movement in the Philippines which reaches across the world. The case of the Philippine also shows mixed approaches to government-social movement relations, characterized by both pressure politics and critical engagement. Considerable gaps and loopholes remain in this web of rights-based policy aspects. Structural weaknesses are major problems that need to be addressed if labor migration is to evolve into a truly choice-driven economic decision. Still, comparatively and historically speaking, the Philippines have come a long way. The combined effects of leadership from below and leadership from above had led to some concrete results – even if far from perfect – in the betterment of many migrants’ lives. "
