BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","doi:10.1108/SBM-12-2011-0088","Agyemang, Kwame J.A.","Toward a framework of “athlete citizenship” in professional sport through authentic community stakeholder engagement","Sport, Business and Management: An International Journal",4,1,"","26-37",2014,"",""," http://dx.doi.org/10.1108/SBM-12-2011-0088 
","","","","","","","","","","","","","","","","",""
7,"","doi:10.1108/JKM-10-2013-0392","Alberghini, Elena; Cricelli, Livio & Grimaldi, Michele","A methodology to manage and monitor social media inside a company: a case study","Journal of Knowledge Management",18,2,"","255-277",2014,"",""," http://dx.doi.org/10.1108/JKM-10-2013-0392 
","","","","","","","","","","","","","","","","",""
7,"","doi:10.1108/17538330911013898","Argiolas, G.; Cabras, S.; Dessì, C. & Floris, M.","Building innovative models of territorial governance","Journal of Place Management and Development",2,3,"","178-210",2009,"",""," http://dx.doi.org/10.1108/17538330911013898 
","","","","","","","","","","","","","","","","",""
7,"","doi:10.1108/17506161011081309","Axelsson, Karin; Melin, Ulf & Lindgren, Ida","Exploring the importance of citizen participation and involvement in e‐government projects: Practice, incentives, and organization","Transforming Government: People, Process and Policy",4,4,"","299-321",2010,"",""," http://dx.doi.org/10.1108/17506161011081309 
","","","","","","","","","","","","","","","","",""
7,"","doi:10.1108/14636681111109660","Barker, Katharine E.; Cox, Deborah & Sveinsdottir, Thordis","Foresight on the future of public research metrology in Europe","Foresight",13,1,"","5-18",2011,"",""," http://dx.doi.org/10.1108/14636681111109660 
","","","","","","","","","","","","","","","","",""
5,"","doi:10.1108/S2043-9059(2014)0000006005","Bauer, Theresa","The Responsibilities of Social Networking Companies: Applying Political CSR Theory to Google, Facebook and Twitter","",,,"","259-282",,"","","http://www.emeraldinsight.com/doi/abs/10.1108/S2043-9059%282014%290000006005","Communicating Corporate Social Responsibility: Perspectives and Practice","22","","","","","","","","","","","","","","",""
5,"","doi:10.1108/S0198-8719(2011)0000022012","Bonilla-Silva, Eduardo & Seamster, Louise","The Sweet Enchantment of Color Blindness in Black Face: Explaining the “Miracle,” Debating the Politics, and Suggesting a Way for Hope to be “For Real” in America","",,,"","139-175",,"","","http://www.emeraldinsight.com/doi/abs/10.1108/S0198-8719%282011%290000022012","Rethinking Obama","14","","","","","","","","","","","","","","",""
5,"","doi:10.1108/S2050-206020150000009002","Brubaker, Pamela Jo; Horning, Michael & Toula, Christopher M.","Engaging Young Voters in the Political Process: U.S. Presidential Debates and YouTube","",,,"","29-51",,"","","http://www.emeraldinsight.com/doi/abs/10.1108/S2050-206020150000009002","Communication and Information Technologies Annual","9","","","","","","","","","","","","","","",""
7,"","doi:10.1108/09699981211259595","da C.L. Alves, Thaís; Milberg, Colin & Walsh, Kenneth D.","Exploring lean construction practice, research, and education","Engineering, Construction and Architectural Management",19,5,"","512-525",2012,"",""," http://dx.doi.org/10.1108/09699981211259595 
","","","","","","","","","","","","","","","","",""
5,"","doi:10.1108/S2053-769720150000024013","Chavez, Jenina Joy & Piper, Nicola","The Reluctant Leader: The Philippine Journey from Labor Export to Championing a Rights-Based Approach to Overseas Employment","",,,"","305-344",,"","","http://www.emeraldinsight.com/doi/abs/10.1108/S2053-769720150000024013","Asian Leadership in Policy and Governance","17","","","","","","","","","","","","","","",""
